Random Search
id,x,y,cost
31,3697,324,394
188,3848,355,1993
101,2504,302,297
24,1067,407,1481
144,2898,1609,168
170,1358,1913,1350
114,2286,1740,1022
162,1416,553,555
106,3171,1147,264
130,2207,907,1687
49,2943,1341,104
185,3469,1080,64
105,849,777,1383
68,922,1647,785
73,2791,1912,1390
43,724,765,581
118,1229,1036,824
92,3174,606,390
123,1199,322,119
191,701,1438,1573
82,3069,412,1133
113,3819,191,283
78,3399,405,20
27,3990,1450,974
122,1954,737,1183
150,2540,260,1935
126,892,93,1631
133,1675,616,491
194,1514,277,1340
159,331,1322,704
138,3226,1399,1055
132,2959,1856,1792
23,2005,1631,819
5,628,974,1081
104,278,318,1655
156,932,34,1625
44,3134,177,311
45,1450,602,1867
9,2662,1405,776
12,2219,964,1370
42,583,895,158
61,2667,1503,1995
79,1852,682,561
115,893,1198,166
54,165,413,557
66,1642,1125,1604
125,2605,556,1940
56,3796,244,1046
87,2685,520,1842
13,3741,252,1839
36,771,1904,1497
62,2678,1417,182
178,3134,1169,420
169,3661,867,1528
4,661,87,903
85,3779,320,1618
140,864,1933,945
41,550,1241,379
77,816,696,1351
3,3131,1199,1133
91,3430,746,1510
48,227,534,986
96,664,1058,1278
120,3016,260,34
184,518,452,296
190,373,80,931
117,1199,1948,611
176,1774,1020,70
136,2065,430,1302
16,3562,3,82
151,1525,726,291
25,3209,224,756
99,2246,490,1895
124,2337,850,962
94,2237,764,323
39,3637,1416,1066
119,3587,1123,1064
90,3991,1300,246
163,535,1791,1423
142,499,1421,1871
160,307,671,228
135,1651,164,197
53,2097,299,81
198,910,1383,1255
154,1878,234,262
181,314,954,736
193,501,1290,5
17,3734,657,1819
109,1410,1050,1326
75,2614,132,360
153,1508,1818,1287
102,2866,1409,939
55,3144,924,585
180,1913,314,175
148,2498,1204,450
70,1639,4,622
10,249,47,774
112,816,83,607
128,2759,1067,1588
64,2401,1778,1685
31,3697,324,394

Local Steepest Edge (Random Path)
id,x,y,cost
31,3697,324,394
56,3796,244,1046
113,3819,191,283
175,3828,57,178
171,3726,56,237
16,3562,3,82
78,3399,405,20
145,3400,530,145
179,3369,697,889
92,3174,606,390
82,3069,412,1133
25,3209,224,756
44,3134,177,311
120,3016,260,34
2,2769,430,500
75,2614,132,360
86,2398,214,497
101,2504,302,297
1,2524,387,414
97,2465,426,310
26,2371,371,834
53,2097,299,81
180,1913,314,175
154,1878,234,262
135,1651,164,197
70,1639,4,622
127,1311,113,736
