Random Search
id,x,y,cost
115,747,1840,797
32,240,1344,797
68,2040,690,962
109,2279,1148,144
97,2352,181,604
20,3731,1803,11
142,1120,129,575
36,1677,73,103
79,1770,132,784
87,1866,460,712
100,114,1710,594
53,2920,1809,791
41,2359,715,786
80,673,52,170
26,3278,370,683
127,3238,171,238
107,73,1855,324
122,425,1514,155
51,1000,1347,314
49,1904,1118,704
144,1992,864,486
90,767,1474,99
187,2813,30,216
78,1152,93,410
55,2959,1326,289
0,2249,1105,40
69,2371,1434,856
153,2717,358,51
183,3276,1559,31
134,1424,1502,419
116,990,1092,808
168,1848,1559,75
37,2339,880,952
34,2834,1384,245
73,700,487,488
71,954,1556,744
54,637,536,299
6,1456,1804,329
199,3447,1705,619
126,1822,1668,732
103,3241,318,302
113,3325,479,63
60,3979,1762,164
135,277,1305,92
66,3928,1338,512
11,1777,1185,330
98,1116,1294,697
121,846,1034,10
191,817,1510,609
112,845,885,662
173,905,550,707
167,2446,1648,967
29,2154,1156,28
76,3688,376,766
82,2005,510,381
8,1946,680,119
155,2452,1841,197
184,2600,1799,594
193,579,472,333
10,592,1848,471
141,2098,6,25
47,3907,1503,174
101,3478,1919,906
33,1893,1017,78
28,3485,1906,229
16,119,890,585
63,32,1428,56
96,170,1403,826
129,2991,504,888
43,1654,1486,638
27,2,879,400
181,3209,1224,935
22,3619,1219,596
95,3370,1235,263
111,2184,746,270
14,2360,538,920
15,2085,1797,350
48,3793,578,792
118,1204,1227,591
39,2132,1084,891
42,165,550,579
46,895,10,959
83,3014,1243,741
38,70,984,384
152,2909,1748,83
106,2905,891,68
62,2964,1170,51
180,3274,562,635
13,1889,1720,411
192,1236,1832,911
194,3437,588,248
50,2256,517,914
65,1655,1900,908
131,555,1117,355
88,3334,578,840
24,321,724,832
125,804,1364,658
169,1713,1818,92
105,649,254,892
35,2314,1089,132
115,747,1840,797

Local Steepest Edge (Random Path)
id,x,y,cost
1,278,832,247
121,846,1034,10
131,555,1117,355
135,277,1305,92
102,129,1293,732
63,32,1428,56
100,114,1710,594
40,7,1897,120
107,73,1855,324
10,592,1848,471
133,514,1770,371
122,425,1514,155
90,767,1474,99
51,1000,1347,314
147,1085,1811,147
134,1424,1502,419
139,1680,1260,362
11,1777,1185,330
138,1706,1019,244
33,1893,1017,78
160,1978,992,421
144,1992,864,486
104,1842,787,381
8,1946,680,119
111,2184,746,270
35,2314,1089,132
109,2279,1148,144
0,2249,1105,40
29,2154,1156,28
168,1848,1559,75
195,1882,1616,342
6,1456,1804,329
188,1622,1862,198
169,1713,1818,92
132,1833,1789,381
13,1889,1720,411
145,2043,1713,221
15,2085,1797,350
70,2012,1975,87
3,2116,1873,105
155,2452,1841,197
184,2600,1799,594
152,2909,1748,83
170,2829,1619,522
34,2834,1384,245
55,2959,1326,289
18,2954,1253,65
62,2964,1170,51
124,2932,989,109
106,2905,891,68
128,3079,1029,534
183,3276,1559,31
140,3287,1689,60
149,3388,1945,501
28,3485,1906,229
20,3731,1803,11
60,3979,1762,164
148,3825,1576,145
47,3907,1503,174
94,3944,1385,108
66,3928,1338,512
179,3749,1066,205
185,3525,1112,27
130,3461,1269,475
95,3370,1235,263
86,3382,964,27
166,3525,715,67
194,3437,588,248
176,3281,586,6
180,3274,562,635
113,3325,479,63
26,3278,370,683
103,3241,318,302
114,3431,256,381
137,3433,28,262
127,3238,171,238
89,3196,229,303
163,3078,311,182
187,2813,30,216
146,2640,88,715
153,2717,358,51
77,2282,296,81
141,2098,6,25
61,1736,127,313
36,1677,73,103
177,1450,398,52
5,1191,249,141
78,1152,93,410
175,1131,69,131
45,1060,195,505
80,673,52,170
190,667,101,52
136,783,317,486
73,700,487,488
54,637,536,299
31,632,506,215
193,579,472,333
117,513,566,31
198,441,604,470
156,297,653,506
1,278,832,247

Local Steepest Edge with LM (Random Path)
id,x,y,cost
185,3525,1112,27
179,3749,1066,205
66,3928,1338,512
94,3944,1385,108
47,3907,1503,174
148,3825,1576,145
20,3731,1803,11
28,3485,1906,229
149,3388,1945,501
4,3337,1928,515
199,3447,1705,619
140,3287,1689,60
183,3276,1559,31
99,3586,1263,451
130,3461,1269,475
95,3370,1235,263
128,3079,1029,534
106,2905,891,68
159,2711,851,677
143,2702,900,336
124,2932,989,109
62,2964,1170,51
18,2954,1253,65
55,2959,1326,289
34,2834,1384,245
170,2829,1619,522
152,2909,1748,83
184,2600,1799,594
155,2452,1841,197
3,2116,1873,105
70,2012,1975,87
15,2085,1797,350
145,2043,1713,221
195,1882,1616,342
168,1848,1559,75
126,1822,1668,732
13,1889,1720,411
132,1833,1789,381
169,1713,1818,92
188,1622,1862,198
6,1456,1804,329
147,1085,1811,147
51,1000,1347,314
191,817,1510,609
90,767,1474,99
10,592,1848,471
133,514,1770,371
122,425,1514,155
135,277,1305,92
131,555,1117,355
121,846,1034,10
198,441,604,470
117,513,566,31
193,579,472,333
31,632,506,215
54,637,536,299
73,700,487,488
190,667,101,52
80,673,52,170
175,1131,69,131
78,1152,93,410
142,1120,129,575
5,1191,249,141
36,1677,73,103
61,1736,127,313
177,1450,398,52
25,1309,801,319
182,1595,1058,485
138,1706,1019,244
139,1680,1260,362
11,1777,1185,330
49,1904,1118,704
29,2154,1156,28
109,2279,1148,144
35,2314,1089,132
0,2249,1105,40
160,1978,992,421
33,1893,1017,78
104,1842,787,381
8,1946,680,119
82,2005,510,381
21,1820,435,299
141,2098,6,25
77,2282,296,81
81,2453,462,379
153,2717,358,51
187,2813,30,216
163,3078,311,182
89,3196,229,303
127,3238,171,238
137,3433,28,262
114,3431,256,381
103,3241,318,302
