objective,similarity,type
71908,47.6496,avg_edges
74105,45.5465,avg_edges
76728,43.0901,avg_edges
71615,49.3544,avg_edges
73807,47.3043,avg_edges
73639,42.6987,avg_edges
72885,45.4074,avg_edges
74874,44.3504,avg_edges
72108,47.964,avg_edges
73273,42.6156,avg_edges
75844,41.1021,avg_edges
73840,43.4054,avg_edges
75447,41.3393,avg_edges
76202,42.2823,avg_edges
73457,45.8709,avg_edges
72687,47.1351,avg_edges
74834,43.4004,avg_edges
76329,45.4575,avg_edges
72915,45.7457,avg_edges
74873,43.6456,avg_edges
75299,44.5886,avg_edges
73784,43.6767,avg_edges
74356,44.8519,avg_edges
72992,45.8559,avg_edges
74205,45.992,avg_edges
76189,43.8198,avg_edges
74129,46.7477,avg_edges
73844,47.7017,avg_edges
74259,43.024,avg_edges
73477,44.5896,avg_edges
74711,44.7227,avg_edges
75649,45.6927,avg_edges
75159,42.5636,avg_edges
74006,47.7217,avg_edges
74085,45.4224,avg_edges
75247,44.1281,avg_edges
73962,45.1011,avg_edges
74183,45.5065,avg_edges
73644,44.7998,avg_edges
74285,44.9439,avg_edges
74134,44.1001,avg_edges
75311,44.5015,avg_edges
73329,46.8639,avg_edges
74903,42.2723,avg_edges
72980,46.024,avg_edges
74561,42.8939,avg_edges
73199,46.047,avg_edges
72089,47.8829,avg_edges
74350,45.1502,avg_edges
74091,46.9249,avg_edges
74361,42.4545,avg_edges
73612,44.7698,avg_edges
74272,46.2042,avg_edges
74066,45.5305,avg_edges
74808,43.3874,avg_edges
72604,47.2793,avg_edges
75011,38.8308,avg_edges
77934,40.6707,avg_edges
74298,44.3083,avg_edges
72857,45.1932,avg_edges
74973,45.1782,avg_edges
76622,42.3433,avg_edges
74378,43.025,avg_edges
73465,45.7457,avg_edges
74424,43.2973,avg_edges
74209,45.1051,avg_edges
74494,45.049,avg_edges
73868,44.3033,avg_edges
74493,43.2973,avg_edges
73453,47.2863,avg_edges
72907,48.008,avg_edges
74369,45.3083,avg_edges
73708,42.9059,avg_edges
73989,46.1411,avg_edges
74014,43.035,avg_edges
73008,44.1111,avg_edges
71662,47.8699,avg_edges
73530,45.2182,avg_edges
75602,43.4264,avg_edges
74686,45.4865,avg_edges
74884,43.5085,avg_edges
76113,43.1081,avg_edges
75032,41.8939,avg_edges
74256,46.4745,avg_edges
75324,44.3744,avg_edges
73314,44.4795,avg_edges
74197,44.1702,avg_edges
74310,46.045,avg_edges
74462,43.2122,avg_edges
73948,45.991,avg_edges
72164,45.7908,avg_edges
74851,43.6817,avg_edges
72563,47.2182,avg_edges
73605,45.8218,avg_edges
74396,44.2242,avg_edges
76906,41.2462,avg_edges
74570,44.5666,avg_edges
74682,41.3654,avg_edges
74081,46.7648,avg_edges
75097,44.2803,avg_edges
74048,44.954,avg_edges
74658,45.2663,avg_edges
74084,44.6076,avg_edges
73458,44.0961,avg_edges
74721,45.8498,avg_edges
74909,43.7558,avg_edges
72289,47.1481,avg_edges
74200,45.6867,avg_edges
74445,47.8589,avg_edges
74117,45.0891,avg_edges
73772,46.046,avg_edges
75429,41.6106,avg_edges
72023,48.9259,avg_edges
73518,45.4094,avg_edges
74184,44.8168,avg_edges
75043,44.5055,avg_edges
74568,46.5666,avg_edges
73967,45.6797,avg_edges
73535,43.5485,avg_edges
75055,44.3644,avg_edges
75359,42.5746,avg_edges
74312,43.6426,avg_edges
73600,47.1201,avg_edges
