objective,similarity,type
71908,89.2382,avg_nodes
74105,88.9209,avg_nodes
76728,87.5235,avg_nodes
71615,88.4354,avg_nodes
73807,88.6727,avg_nodes
73639,87.4054,avg_nodes
72885,88.0961,avg_nodes
74874,88.2643,avg_nodes
72108,89.029,avg_nodes
73273,88.4845,avg_nodes
75844,88.2072,avg_nodes
73840,88.7437,avg_nodes
75447,87.7437,avg_nodes
76202,86.1732,avg_nodes
73457,88.8979,avg_nodes
72687,88.7758,avg_nodes
74834,87.8058,avg_nodes
76329,86.9029,avg_nodes
72915,88.988,avg_nodes
74873,87.3473,avg_nodes
75299,88.032,avg_nodes
73784,88.8128,avg_nodes
74356,89.0931,avg_nodes
72992,89.047,avg_nodes
74205,88.3403,avg_nodes
76189,88.0991,avg_nodes
74129,88.7047,avg_nodes
73844,87.969,avg_nodes
74259,87.7367,avg_nodes
73477,88.4274,avg_nodes
74711,88.8308,avg_nodes
75649,85.8829,avg_nodes
75159,88.3984,avg_nodes
74006,89.2853,avg_nodes
74085,88.3804,avg_nodes
75247,88.4915,avg_nodes
73962,87.5135,avg_nodes
74183,88.7497,avg_nodes
73644,90.1481,avg_nodes
74285,87.8709,avg_nodes
74134,89.1241,avg_nodes
75311,88.039,avg_nodes
73329,89.3163,avg_nodes
74903,87.5255,avg_nodes
72980,87.8358,avg_nodes
74561,86.03,avg_nodes
73199,88.3073,avg_nodes
72089,88.3253,avg_nodes
74350,88.9149,avg_nodes
74091,89.4104,avg_nodes
74361,86.7127,avg_nodes
73612,87.0701,avg_nodes
74272,89.0501,avg_nodes
74066,89.037,avg_nodes
74808,86.1812,avg_nodes
72604,88.3403,avg_nodes
75011,86.1131,avg_nodes
77934,85.7137,avg_nodes
74298,89.032,avg_nodes
72857,88.7728,avg_nodes
74973,88.1301,avg_nodes
76622,86.0611,avg_nodes
74378,87.8168,avg_nodes
73465,89.8398,avg_nodes
74424,89.6887,avg_nodes
74209,87.9369,avg_nodes
74494,89.2272,avg_nodes
73868,89.2082,avg_nodes
74493,87.4805,avg_nodes
73453,87.8478,avg_nodes
72907,89.9489,avg_nodes
74369,88.8248,avg_nodes
73708,87.8959,avg_nodes
73989,88.3644,avg_nodes
74014,88.5115,avg_nodes
73008,89.7457,avg_nodes
71662,88.7818,avg_nodes
73530,87.7307,avg_nodes
75602,88.5345,avg_nodes
74686,87.6987,avg_nodes
74884,87.8078,avg_nodes
76113,84.8969,avg_nodes
75032,88.3333,avg_nodes
74256,89.4905,avg_nodes
75324,89.3383,avg_nodes
73314,88.7137,avg_nodes
74197,89.8569,avg_nodes
74310,88.3874,avg_nodes
74462,88.6276,avg_nodes
73948,87.3754,avg_nodes
72164,89.3804,avg_nodes
74851,88.0971,avg_nodes
72563,89.2452,avg_nodes
73605,89.5746,avg_nodes
74396,88.5045,avg_nodes
76906,85.2122,avg_nodes
74570,88.6186,avg_nodes
74682,87.6066,avg_nodes
74081,88.4194,avg_nodes
75097,87.2783,avg_nodes
74048,87.975,avg_nodes
74658,89.5876,avg_nodes
74084,89.033,avg_nodes
73458,88.4895,avg_nodes
74721,87.4464,avg_nodes
74909,86.3784,avg_nodes
72289,88.7077,avg_nodes
74200,87.5866,avg_nodes
74445,86.3423,avg_nodes
74117,87.6587,avg_nodes
73772,88.6907,avg_nodes
75429,87.6266,avg_nodes
72023,89.4494,avg_nodes
73518,89.7578,avg_nodes
74184,87.4885,avg_nodes
75043,88.9459,avg_nodes
74568,89.997,avg_nodes
73967,88.3694,avg_nodes
73535,87.7137,avg_nodes
75055,88.8559,avg_nodes
75359,88.2673,avg_nodes
74312,87.049,avg_nodes
73600,89.5736,avg_nodes
73742,87.2082,avg_nodes
74958,85.963,avg_nodes
73372,87.7437,avg_nodes
73829,88.03,avg_nodes
76279,86.8368,avg_nodes
74782,89.7327,avg_nodes
74604,88.5475,avg_nodes
74745,86.8388,avg_nodes
75395,88.2402,avg_nodes
73838,89.8629,avg_nodes
73080,88.5846,avg_nodes
75718,87.4635,avg_nodes
75000,88.4344,avg_nodes
75251,88.3473,avg_nodes
74801,87.6557,avg_nodes
73950,88.5706,avg_nodes
74049,90.1692,avg_nodes
73434,88.8559,avg_nodes
72803,87.977,avg_nodes
73755,89.3013,avg_nodes
74039,89.5596,avg_nodes
73842,89.2262,avg_nodes
73865,89.0921,avg_nodes
73496,89.026,avg_nodes
73487,89.5165,avg_nodes
75146,87.5736,avg_nodes
72795,89.1852,avg_nodes
76675,88.1742,avg_nodes
74587,88.2182,avg_nodes
74612,87.2733,avg_nodes
75722,87.9269,avg_nodes
74442,86.9229,avg_nodes
75071,86.7888,avg_nodes
74097,88.8118,avg_nodes
73712,88.4394,avg_nodes
76189,86.3564,avg_nodes
73314,88.8108,avg_nodes
75781,87.1261,avg_nodes
73615,88.8428,avg_nodes
73583,88.979,avg_nodes
74187,89.3954,avg_nodes
74788,88.1211,avg_nodes
72953,89.4334,avg_nodes
73060,89.6627,avg_nodes
74357,87.9389,avg_nodes
72898,88.4244,avg_nodes
73974,88.3423,avg_nodes
74598,87.9109,avg_nodes
73990,87.5305,avg_nodes
75182,88.3213,avg_nodes
74024,88.2122,avg_nodes
76496,86.1231,avg_nodes
73796,88.6386,avg_nodes
72286,89.016,avg_nodes
77818,86.4064,avg_nodes
71638,88.967,avg_nodes
74038,87.8428,avg_nodes
73434,91.017,avg_nodes
74838,86.2723,avg_nodes
74895,85.5105,avg_nodes
74559,89.0871,avg_nodes
73362,88.8989,avg_nodes
73181,87.3113,avg_nodes
73164,89.4545,avg_nodes
73120,88.2192,avg_nodes
73683,89.1892,avg_nodes
73113,88.6847,avg_nodes
72944,88.4755,avg_nodes
73158,88.2132,avg_nodes
72499,89.6757,avg_nodes
75435,88.021,avg_nodes
73594,88.8709,avg_nodes
73341,88.3293,avg_nodes
73467,88.7938,avg_nodes
73049,85.9439,avg_nodes
75563,88.5716,avg_nodes
72653,89.8929,avg_nodes
75214,86.6877,avg_nodes
73157,87.1732,avg_nodes
72943,87.8288,avg_nodes
74894,89.5415,avg_nodes
73566,90.2392,avg_nodes
73657,88.4685,avg_nodes
75756,88.5115,avg_nodes
71024,88.9469,avg_nodes
74408,88.8108,avg_nodes
72940,89.8158,avg_nodes
72936,87.8949,avg_nodes
73745,89.8238,avg_nodes
73615,87.4565,avg_nodes
73276,87.4825,avg_nodes
73699,85.7838,avg_nodes
74634,88.1992,avg_nodes
72492,89.6356,avg_nodes
75028,86.8458,avg_nodes
73892,87.3664,avg_nodes
76055,88.6887,avg_nodes
72732,88.6406,avg_nodes
76480,86.5345,avg_nodes
73524,89.2302,avg_nodes
73240,89.3924,avg_nodes
73510,85.6817,avg_nodes
71915,88.2052,avg_nodes
73081,88.6046,avg_nodes
74037,89.3954,avg_nodes
73589,89.6006,avg_nodes
72499,88.4094,avg_nodes
73033,88.6527,avg_nodes
73607,88.8639,avg_nodes
74115,87.6897,avg_nodes
74042,87.8328,avg_nodes
73429,88.3534,avg_nodes
74984,87.3493,avg_nodes
76271,85.7417,avg_nodes
74605,88.3053,avg_nodes
73753,89.6316,avg_nodes
76589,87.968,avg_nodes
75888,87.7497,avg_nodes
75405,87.8589,avg_nodes
75163,86.6086,avg_nodes
73690,89.3413,avg_nodes
74020,88.0781,avg_nodes
73541,90.046,avg_nodes
76165,87.013,avg_nodes
73398,88.0821,avg_nodes
73115,88.5686,avg_nodes
72438,89.3263,avg_nodes
73372,90.0961,avg_nodes
73968,87.7698,avg_nodes
73200,88.4865,avg_nodes
74297,88.4034,avg_nodes
73227,88.8819,avg_nodes
76095,86.4575,avg_nodes
74359,88.02,avg_nodes
73552,87.4424,avg_nodes
74852,88.5616,avg_nodes
73582,88.4134,avg_nodes
75765,88.044,avg_nodes
75059,87.9249,avg_nodes
72645,88.8468,avg_nodes
73969,88.8729,avg_nodes
74397,87.7588,avg_nodes
74382,87.4995,avg_nodes
74857,88.3003,avg_nodes
74286,89.3463,avg_nodes
74007,88.7197,avg_nodes
74210,89.4374,avg_nodes
73711,88.976,avg_nodes
73893,87.6046,avg_nodes
74174,89.0741,avg_nodes
73626,88.961,avg_nodes
71716,89.6066,avg_nodes
73225,88.8318,avg_nodes
73916,87.5536,avg_nodes
74583,87.5836,avg_nodes
73026,88.2743,avg_nodes
73376,88.7327,avg_nodes
75452,87.7808,avg_nodes
73815,87.6777,avg_nodes
73687,87.9079,avg_nodes
76012,88.038,avg_nodes
75156,86.7117,avg_nodes
73797,89.3594,avg_nodes
73872,89.2152,avg_nodes
73268,86.0651,avg_nodes
72887,90.0771,avg_nodes
73513,89.8418,avg_nodes
77567,86.6617,avg_nodes
76380,86.2543,avg_nodes
75902,88.6897,avg_nodes
74694,86.7878,avg_nodes
73950,86.0641,avg_nodes
74180,88.4324,avg_nodes
74257,89.4184,avg_nodes
74217,88.5365,avg_nodes
73128,89.7387,avg_nodes
74873,88.2793,avg_nodes
74292,87.3373,avg_nodes
73959,89.1291,avg_nodes
74663,87.3904,avg_nodes
73472,87.1682,avg_nodes
73500,88.3033,avg_nodes
73020,89.7938,avg_nodes
73657,87.4044,avg_nodes
73906,89.8839,avg_nodes
73518,88.2292,avg_nodes
74055,84.9059,avg_nodes
74286,88.6507,avg_nodes
73733,87.8689,avg_nodes
74726,88.01,avg_nodes
72434,87.2342,avg_nodes
74728,86.3433,avg_nodes
74460,88.0951,avg_nodes
77677,86.9169,avg_nodes
73068,89.3473,avg_nodes
74499,87.7618,avg_nodes
75961,87.8859,avg_nodes
75530,88.1832,avg_nodes
75443,87.6416,avg_nodes
73909,89.1021,avg_nodes
75023,88.3554,avg_nodes
72649,88.2262,avg_nodes
74398,87.966,avg_nodes
74124,88.4414,avg_nodes
73495,88.6647,avg_nodes
77781,86.4154,avg_nodes
72790,87.6987,avg_nodes
74152,86.1381,avg_nodes
73818,89.2523,avg_nodes
74398,88.996,avg_nodes
73226,88.5225,avg_nodes
73356,89.3944,avg_nodes
74730,88.035,avg_nodes
74829,88.6196,avg_nodes
73941,88.7017,avg_nodes
72862,89.2723,avg_nodes
74863,87.7317,avg_nodes
74009,89.2503,avg_nodes
73063,88.6857,avg_nodes
77333,86.6997,avg_nodes
73172,86.8849,avg_nodes
73556,87.3984,avg_nodes
72081,89.1231,avg_nodes
74767,87.7608,avg_nodes
74982,87.8579,avg_nodes
73938,87.9209,avg_nodes
75038,88.3834,avg_nodes
73750,87.9409,avg_nodes
73381,89.981,avg_nodes
73242,88.7487,avg_nodes
73623,89.3854,avg_nodes
74460,88.6877,avg_nodes
74331,88.6436,avg_nodes
73546,87.3253,avg_nodes
74135,87.3634,avg_nodes
75202,87.1712,avg_nodes
73679,88.6997,avg_nodes
74233,89.039,avg_nodes
73731,88.3073,avg_nodes
73027,89.8488,avg_nodes
73006,88.0851,avg_nodes
74266,88.5295,avg_nodes
73866,87.3043,avg_nodes
72405,88.048,avg_nodes
73008,89.5305,avg_nodes
75206,88.7257,avg_nodes
74184,86.5165,avg_nodes
74409,89.9429,avg_nodes
73878,89.4154,avg_nodes
73693,90.7788,avg_nodes
72670,88.6507,avg_nodes
75352,86.7347,avg_nodes
74296,88.1391,avg_nodes
73541,88.3343,avg_nodes
74789,86.8158,avg_nodes
73518,88.026,avg_nodes
74614,88.6847,avg_nodes
73523,88.8749,avg_nodes
72412,86.4184,avg_nodes
73549,86.6406,avg_nodes
74305,88.5235,avg_nodes
73935,87.6256,avg_nodes
74446,88.6166,avg_nodes
73825,89.3333,avg_nodes
74732,86.7107,avg_nodes
76025,87.3634,avg_nodes
74100,89.0901,avg_nodes
74874,87.3864,avg_nodes
73850,87.8288,avg_nodes
74737,86.7427,avg_nodes
73994,87.971,avg_nodes
71054,89.4244,avg_nodes
76584,85.7598,avg_nodes
75963,83.5145,avg_nodes
74059,90.0951,avg_nodes
72124,89.5025,avg_nodes
73380,87.6977,avg_nodes
75137,87.2653,avg_nodes
73829,86.8338,avg_nodes
75299,89.5225,avg_nodes
74613,88.2032,avg_nodes
74708,88.6346,avg_nodes
73635,87.6396,avg_nodes
73841,87.4374,avg_nodes
74308,88.4645,avg_nodes
75069,86.5225,avg_nodes
73819,87.7087,avg_nodes
73677,88.5485,avg_nodes
76213,88.3173,avg_nodes
74766,88.7087,avg_nodes
73538,88.7958,avg_nodes
74437,87.3534,avg_nodes
73676,89.6416,avg_nodes
74111,88.2092,avg_nodes
74619,88.5806,avg_nodes
77762,87.1742,avg_nodes
75426,87.1792,avg_nodes
74088,87.1702,avg_nodes
75311,87.2883,avg_nodes
76166,88.2513,avg_nodes
75338,85.0841,avg_nodes
73874,87.5606,avg_nodes
74598,89.1982,avg_nodes
74116,88.028,avg_nodes
73690,86.6386,avg_nodes
73640,89.3834,avg_nodes
73474,89.4625,avg_nodes
73663,87.2152,avg_nodes
74520,86.6486,avg_nodes
73790,88.4905,avg_nodes
73729,88.3504,avg_nodes
74927,89.8378,avg_nodes
72741,88.5546,avg_nodes
74780,89.3493,avg_nodes
72884,87.2132,avg_nodes
72708,88.1271,avg_nodes
72311,89.8789,avg_nodes
75265,88.2973,avg_nodes
73261,87.3113,avg_nodes
75009,88.1682,avg_nodes
73325,89.0741,avg_nodes
73560,88.4234,avg_nodes
74228,89.2462,avg_nodes
72180,89.2472,avg_nodes
75106,88.1722,avg_nodes
75146,88.5125,avg_nodes
75416,87.8829,avg_nodes
73344,89.977,avg_nodes
75190,87.4535,avg_nodes
74165,88.3413,avg_nodes
72612,89.2182,avg_nodes
74226,88.027,avg_nodes
75278,88.7117,avg_nodes
73755,87.7137,avg_nodes
75727,88.979,avg_nodes
73699,89.022,avg_nodes
72210,89.2783,avg_nodes
71589,89.5295,avg_nodes
74847,87.4464,avg_nodes
74571,87.3153,avg_nodes
74726,87.5305,avg_nodes
71875,89.4414,avg_nodes
74678,88.4374,avg_nodes
72654,87.6537,avg_nodes
74491,88.7307,avg_nodes
73995,88.1171,avg_nodes
73519,88.2012,avg_nodes
72617,89.1882,avg_nodes
75360,86.4494,avg_nodes
76877,85.9169,avg_nodes
73329,89.0761,avg_nodes
73656,89.3433,avg_nodes
74762,89.027,avg_nodes
73296,88.5035,avg_nodes
74785,88.3674,avg_nodes
73607,88.6006,avg_nodes
73213,88.3363,avg_nodes
72512,90.2823,avg_nodes
73669,88.6887,avg_nodes
73828,88.987,avg_nodes
75130,88.7878,avg_nodes
72913,89.4494,avg_nodes
76056,86.4515,avg_nodes
73691,88.3544,avg_nodes
72426,87.966,avg_nodes
74319,87.8689,avg_nodes
73541,89.3453,avg_nodes
75693,85.2442,avg_nodes
72304,89.5936,avg_nodes
73294,88.4024,avg_nodes
72566,89.0791,avg_nodes
74626,87.4394,avg_nodes
73652,87.7928,avg_nodes
74650,88.5155,avg_nodes
73509,87.6326,avg_nodes
72867,88.8428,avg_nodes
73797,88.2172,avg_nodes
75505,88.4114,avg_nodes
72887,88.2302,avg_nodes
75239,85.9359,avg_nodes
73826,89.2442,avg_nodes
75816,88.5055,avg_nodes
74074,86.4845,avg_nodes
74320,88.4274,avg_nodes
74791,88.4825,avg_nodes
75234,88.8378,avg_nodes
72550,88.3624,avg_nodes
72783,89.3123,avg_nodes
72633,88.6496,avg_nodes
74428,85.7528,avg_nodes
74829,88.9059,avg_nodes
73629,87.5796,avg_nodes
74544,88.7257,avg_nodes
74900,87.6767,avg_nodes
73862,89.5896,avg_nodes
72898,88.6346,avg_nodes
73419,89.2993,avg_nodes
76066,86.6757,avg_nodes
74431,89.2533,avg_nodes
75079,87.4815,avg_nodes
76371,87.1532,avg_nodes
76786,86.0871,avg_nodes
73053,87.984,avg_nodes
74321,88.3013,avg_nodes
74536,88.3293,avg_nodes
72986,89.959,avg_nodes
73535,88.6456,avg_nodes
74503,88.1321,avg_nodes
72318,89.008,avg_nodes
73953,87.2372,avg_nodes
73009,87.6877,avg_nodes
71680,89.026,avg_nodes
74172,88.0991,avg_nodes
76456,87.5225,avg_nodes
74038,89.2352,avg_nodes
74615,86.8388,avg_nodes
75992,85.2513,avg_nodes
74190,87.8909,avg_nodes
76083,86.952,avg_nodes
74170,89.5405,avg_nodes
75141,87.4334,avg_nodes
73713,88.4284,avg_nodes
74539,86.8879,avg_nodes
75759,87.4845,avg_nodes
73488,89.2553,avg_nodes
75569,87.5946,avg_nodes
74741,88.9049,avg_nodes
73991,88.3504,avg_nodes
73989,88.7427,avg_nodes
75119,86.5986,avg_nodes
75338,88.008,avg_nodes
73929,88.5405,avg_nodes
74350,89.8328,avg_nodes
73775,88.3273,avg_nodes
75108,89.3483,avg_nodes
74383,89.9389,avg_nodes
73916,86.7057,avg_nodes
74565,87.2472,avg_nodes
73786,89.007,avg_nodes
73914,88.6476,avg_nodes
72453,88.7427,avg_nodes
73933,87.035,avg_nodes
72374,89.2302,avg_nodes
73911,89.03,avg_nodes
74193,89.2192,avg_nodes
73812,88.96,avg_nodes
73250,87.7748,avg_nodes
73869,87.3393,avg_nodes
73666,88.4855,avg_nodes
73584,86.4885,avg_nodes
74005,88.1742,avg_nodes
75338,87.3063,avg_nodes
74944,88.953,avg_nodes
74027,87.2823,avg_nodes
75752,87.3704,avg_nodes
73269,90.0811,avg_nodes
75391,86.2192,avg_nodes
73726,88.4815,avg_nodes
74703,89.6366,avg_nodes
72703,87.2122,avg_nodes
73564,87.955,avg_nodes
73435,87.6747,avg_nodes
72838,87.9139,avg_nodes
76382,86.9209,avg_nodes
74298,87.1471,avg_nodes
76184,84.8949,avg_nodes
72968,89.96,avg_nodes
72531,87.7407,avg_nodes
73030,88.8559,avg_nodes
75251,86.2442,avg_nodes
74143,89.2873,avg_nodes
75641,88.6957,avg_nodes
75499,88.5155,avg_nodes
73463,89.2803,avg_nodes
72469,89.9149,avg_nodes
73236,88.033,avg_nodes
75548,85.4184,avg_nodes
74851,89.2422,avg_nodes
72601,89.2482,avg_nodes
74482,87.3894,avg_nodes
73361,87.9329,avg_nodes
73455,88.6807,avg_nodes
73681,89.957,avg_nodes
72209,89.6877,avg_nodes
73584,88.9389,avg_nodes
72878,90.4775,avg_nodes
73348,88.4074,avg_nodes
75013,87.957,avg_nodes
75411,89.048,avg_nodes
73174,86.8889,avg_nodes
74596,89.0761,avg_nodes
73310,89.2472,avg_nodes
74872,86.5305,avg_nodes
74393,85.973,avg_nodes
73344,88.9109,avg_nodes
72568,89.7257,avg_nodes
74110,89.2252,avg_nodes
73693,90.7407,avg_nodes
74880,88.3443,avg_nodes
73317,88.1471,avg_nodes
73599,88.3423,avg_nodes
73188,88.4715,avg_nodes
74038,88.1522,avg_nodes
74623,89.1962,avg_nodes
75324,85.8559,avg_nodes
74936,87.2853,avg_nodes
73737,86.8719,avg_nodes
76099,87.0651,avg_nodes
73076,88.4434,avg_nodes
76153,87.6727,avg_nodes
74082,88.3083,avg_nodes
73624,86.7037,avg_nodes
73896,89.4665,avg_nodes
77675,86.7287,avg_nodes
73508,88.3073,avg_nodes
74790,89.012,avg_nodes
74213,88.1061,avg_nodes
73322,88.6647,avg_nodes
74514,88.5345,avg_nodes
73537,88.9079,avg_nodes
72825,89.7868,avg_nodes
73291,88.7728,avg_nodes
73093,88.4955,avg_nodes
72493,88.2623,avg_nodes
73995,88.4174,avg_nodes
73526,90.1051,avg_nodes
75621,86.1321,avg_nodes
73219,87.5435,avg_nodes
72824,89.5155,avg_nodes
74043,87.2052,avg_nodes
73800,87.5495,avg_nodes
73472,88.6727,avg_nodes
73660,87.6857,avg_nodes
75206,86.1702,avg_nodes
75333,86.1371,avg_nodes
73925,89.1241,avg_nodes
76138,86.6006,avg_nodes
75712,88.1592,avg_nodes
72685,90.5616,avg_nodes
73538,87.2492,avg_nodes
74888,89.6226,avg_nodes
74520,88.4134,avg_nodes
73954,87.6997,avg_nodes
76743,86.8088,avg_nodes
74202,87.7848,avg_nodes
74630,89.8298,avg_nodes
74631,88.2292,avg_nodes
73073,89.989,avg_nodes
77210,87.6547,avg_nodes
75041,87.7608,avg_nodes
72731,89.6326,avg_nodes
74644,89.4164,avg_nodes
72228,89.0971,avg_nodes
72964,88.2232,avg_nodes
76252,88.7538,avg_nodes
74469,86.9239,avg_nodes
73398,85.952,avg_nodes
75177,87.3844,avg_nodes
72616,88.3013,avg_nodes
74925,89.96,avg_nodes
73902,87.6406,avg_nodes
75700,84.7177,avg_nodes
73356,89.5115,avg_nodes
73399,88.5285,avg_nodes
74749,86.1271,avg_nodes
73609,89.3804,avg_nodes
74447,87.5075,avg_nodes
75051,87.3333,avg_nodes
74400,88.7167,avg_nodes
77181,86.9179,avg_nodes
73163,87.981,avg_nodes
74315,88.4324,avg_nodes
73946,88.4645,avg_nodes
71534,90.2783,avg_nodes
74624,88.2723,avg_nodes
73242,89.6867,avg_nodes
72122,89.3634,avg_nodes
74452,89.1542,avg_nodes
75786,85.8919,avg_nodes
74364,88.4755,avg_nodes
74126,88.1932,avg_nodes
75626,86.8829,avg_nodes
74082,88.9339,avg_nodes
74378,88.3413,avg_nodes
74736,88.5135,avg_nodes
73533,88.6537,avg_nodes
73862,88.5135,avg_nodes
75022,88.2262,avg_nodes
72731,86.3724,avg_nodes
74209,87.971,avg_nodes
73811,89.0861,avg_nodes
73878,88.2863,avg_nodes
75136,89.1612,avg_nodes
72361,86.9169,avg_nodes
75501,87.6677,avg_nodes
74638,87.6697,avg_nodes
73359,88.6557,avg_nodes
77304,86.8899,avg_nodes
73612,88.5516,avg_nodes
75879,86.8488,avg_nodes
73533,86.9129,avg_nodes
72112,88.5896,avg_nodes
73557,88.4304,avg_nodes
75336,88.6116,avg_nodes
72553,88.2322,avg_nodes
73035,89.0551,avg_nodes
75606,87.2092,avg_nodes
73756,89.98,avg_nodes
73709,86.0831,avg_nodes
72785,87.9189,avg_nodes
74588,88.8779,avg_nodes
73948,89.4885,avg_nodes
74766,87.3033,avg_nodes
74864,89.046,avg_nodes
74754,87.7968,avg_nodes
72930,89.2162,avg_nodes
72336,89.2262,avg_nodes
75443,87.5365,avg_nodes
74801,89.01,avg_nodes
73136,90.3193,avg_nodes
74714,88.6647,avg_nodes
73490,89.2553,avg_nodes
73791,87.6366,avg_nodes
72981,88.1341,avg_nodes
74714,88.7918,avg_nodes
73979,87.5536,avg_nodes
75297,86.1572,avg_nodes
73953,88.1892,avg_nodes
72811,89.2793,avg_nodes
73883,87.974,avg_nodes
73363,88.6066,avg_nodes
75187,88.5215,avg_nodes
73430,88.8699,avg_nodes
73645,88.5195,avg_nodes
72399,89.7167,avg_nodes
75190,88.5095,avg_nodes
72835,88.9429,avg_nodes
72806,89.974,avg_nodes
73365,87.7848,avg_nodes
74262,86.7828,avg_nodes
