objective,similarity,type
71908,52,best_edges
74105,53,best_edges
76728,43,best_edges
71615,63,best_edges
73807,54,best_edges
73639,46,best_edges
72885,43,best_edges
74874,46,best_edges
72108,65,best_edges
73273,46,best_edges
75844,48,best_edges
73840,48,best_edges
75447,53,best_edges
76202,46,best_edges
73457,47,best_edges
72687,46,best_edges
74834,51,best_edges
76329,46,best_edges
72915,63,best_edges
74873,51,best_edges
75299,56,best_edges
73784,55,best_edges
74356,50,best_edges
72992,49,best_edges
74205,54,best_edges
76189,49,best_edges
74129,55,best_edges
73844,48,best_edges
74259,51,best_edges
73477,52,best_edges
74711,48,best_edges
75649,51,best_edges
75159,46,best_edges
74006,51,best_edges
74085,50,best_edges
75247,45,best_edges
73962,45,best_edges
74183,51,best_edges
73644,52,best_edges
74285,52,best_edges
74134,45,best_edges
75311,51,best_edges
73329,54,best_edges
74903,40,best_edges
72980,56,best_edges
74561,53,best_edges
73199,51,best_edges
72089,57,best_edges
74350,51,best_edges
74091,49,best_edges
74361,47,best_edges
73612,46,best_edges
74272,55,best_edges
74066,50,best_edges
74808,56,best_edges
72604,56,best_edges
75011,39,best_edges
77934,38,best_edges
74298,50,best_edges
72857,53,best_edges
74973,49,best_edges
76622,45,best_edges
74378,44,best_edges
73465,58,best_edges
74424,50,best_edges
74209,52,best_edges
74494,48,best_edges
73868,45,best_edges
74493,48,best_edges
73453,52,best_edges
72907,57,best_edges
74369,47,best_edges
73708,45,best_edges
73989,51,best_edges
74014,48,best_edges
73008,53,best_edges
71662,48,best_edges
73530,48,best_edges
75602,46,best_edges
74686,49,best_edges
74884,52,best_edges
76113,49,best_edges
75032,51,best_edges
74256,62,best_edges
75324,52,best_edges
73314,56,best_edges
74197,47,best_edges
74310,51,best_edges
74462,49,best_edges
73948,51,best_edges
72164,53,best_edges
74851,49,best_edges
72563,49,best_edges
73605,53,best_edges
74396,53,best_edges
76906,49,best_edges
74570,56,best_edges
74682,45,best_edges
74081,48,best_edges
75097,51,best_edges
74048,52,best_edges
74658,47,best_edges
74084,51,best_edges
73458,52,best_edges
74721,48,best_edges
74909,47,best_edges
72289,54,best_edges
74200,53,best_edges
74445,52,best_edges
74117,46,best_edges
73772,51,best_edges
75429,45,best_edges
72023,59,best_edges
73518,50,best_edges
74184,48,best_edges
75043,53,best_edges
74568,51,best_edges
73967,51,best_edges
73535,49,best_edges
75055,46,best_edges
75359,44,best_edges
74312,44,best_edges
73600,57,best_edges
73742,51,best_edges
74958,53,best_edges
73372,44,best_edges
73829,51,best_edges
76279,44,best_edges
74782,51,best_edges
74604,46,best_edges
74745,46,best_edges
75395,57,best_edges
73838,59,best_edges
73080,52,best_edges
75718,48,best_edges
75000,46,best_edges
75251,55,best_edges
74801,46,best_edges
73950,57,best_edges
74049,59,best_edges
73434,52,best_edges
72803,58,best_edges
73755,48,best_edges
74039,52,best_edges
73842,52,best_edges
73865,45,best_edges
73496,49,best_edges
73487,52,best_edges
75146,51,best_edges
72795,58,best_edges
76675,43,best_edges
74587,50,best_edges
74612,55,best_edges
75722,54,best_edges
74442,61,best_edges
75071,47,best_edges
74097,51,best_edges
73712,48,best_edges
76189,46,best_edges
73314,56,best_edges
75781,48,best_edges
73615,49,best_edges
73583,49,best_edges
74187,49,best_edges
74788,48,best_edges
72953,59,best_edges
73060,65,best_edges
74357,54,best_edges
72898,52,best_edges
73974,62,best_edges
74598,56,best_edges
73990,45,best_edges
75182,46,best_edges
74024,53,best_edges
76496,45,best_edges
73796,50,best_edges
72286,56,best_edges
77818,45,best_edges
71638,52,best_edges
74038,59,best_edges
73434,46,best_edges
74838,56,best_edges
74895,51,best_edges
74559,45,best_edges
73362,51,best_edges
73181,43,best_edges
73164,50,best_edges
73120,53,best_edges
73683,54,best_edges
73113,51,best_edges
72944,56,best_edges
73158,57,best_edges
72499,54,best_edges
75435,45,best_edges
73594,53,best_edges
73341,47,best_edges
73467,61,best_edges
73049,43,best_edges
75563,54,best_edges
72653,59,best_edges
75214,55,best_edges
73157,52,best_edges
72943,46,best_edges
74894,48,best_edges
73566,53,best_edges
73657,49,best_edges
75756,52,best_edges
74408,47,best_edges
72940,59,best_edges
72936,49,best_edges
73745,55,best_edges
73615,55,best_edges
73276,55,best_edges
73699,51,best_edges
74634,49,best_edges
72492,54,best_edges
75028,47,best_edges
73892,49,best_edges
76055,45,best_edges
72732,57,best_edges
76480,49,best_edges
73524,51,best_edges
73240,55,best_edges
73510,43,best_edges
71915,51,best_edges
73081,56,best_edges
74037,59,best_edges
73589,49,best_edges
72499,54,best_edges
73033,64,best_edges
73607,50,best_edges
74115,54,best_edges
74042,55,best_edges
73429,55,best_edges
74984,50,best_edges
76271,47,best_edges
74605,45,best_edges
73753,50,best_edges
76589,47,best_edges
75888,46,best_edges
75405,48,best_edges
75163,45,best_edges
73690,51,best_edges
74020,53,best_edges
73541,53,best_edges
76165,52,best_edges
73398,53,best_edges
73115,50,best_edges
72438,51,best_edges
73372,60,best_edges
73968,47,best_edges
73200,49,best_edges
74297,54,best_edges
73227,52,best_edges
76095,42,best_edges
74359,50,best_edges
73552,49,best_edges
74852,52,best_edges
73582,59,best_edges
75765,50,best_edges
75059,48,best_edges
72645,52,best_edges
73969,48,best_edges
74397,46,best_edges
74382,42,best_edges
74857,50,best_edges
74286,53,best_edges
74007,50,best_edges
74210,42,best_edges
73711,48,best_edges
73893,58,best_edges
74174,54,best_edges
73626,60,best_edges
71716,63,best_edges
73225,57,best_edges
73916,49,best_edges
74583,54,best_edges
73026,50,best_edges
73376,54,best_edges
75452,50,best_edges
73815,49,best_edges
73687,55,best_edges
76012,42,best_edges
75156,41,best_edges
73797,52,best_edges
