objective,similarity,type
71908,90,best_nodes
74105,93,best_nodes
76728,86,best_nodes
71615,92,best_nodes
73807,89,best_nodes
73639,86,best_nodes
72885,87,best_nodes
74874,87,best_nodes
72108,93,best_nodes
73273,90,best_nodes
75844,90,best_nodes
73840,88,best_nodes
75447,90,best_nodes
76202,84,best_nodes
73457,90,best_nodes
72687,88,best_nodes
74834,90,best_nodes
76329,85,best_nodes
72915,94,best_nodes
74873,91,best_nodes
75299,91,best_nodes
73784,91,best_nodes
74356,89,best_nodes
72992,89,best_nodes
74205,90,best_nodes
76189,88,best_nodes
74129,90,best_nodes
73844,88,best_nodes
74259,90,best_nodes
73477,91,best_nodes
74711,89,best_nodes
75649,84,best_nodes
75159,86,best_nodes
74006,88,best_nodes
74085,88,best_nodes
75247,88,best_nodes
73962,86,best_nodes
74183,86,best_nodes
73644,91,best_nodes
74285,89,best_nodes
74134,88,best_nodes
75311,90,best_nodes
73329,89,best_nodes
74903,86,best_nodes
72980,89,best_nodes
74561,88,best_nodes
73199,88,best_nodes
72089,91,best_nodes
74350,88,best_nodes
74091,89,best_nodes
74361,86,best_nodes
73612,86,best_nodes
74272,91,best_nodes
74066,90,best_nodes
74808,89,best_nodes
72604,91,best_nodes
75011,83,best_nodes
77934,84,best_nodes
74298,90,best_nodes
72857,91,best_nodes
74973,87,best_nodes
76622,85,best_nodes
74378,86,best_nodes
73465,92,best_nodes
74424,89,best_nodes
74209,90,best_nodes
74494,89,best_nodes
73868,89,best_nodes
74493,87,best_nodes
73453,88,best_nodes
72907,90,best_nodes
74369,91,best_nodes
73708,88,best_nodes
73989,88,best_nodes
74014,86,best_nodes
73008,91,best_nodes
71662,88,best_nodes
73530,89,best_nodes
75602,89,best_nodes
74686,84,best_nodes
74884,89,best_nodes
76113,87,best_nodes
75032,88,best_nodes
74256,92,best_nodes
75324,90,best_nodes
73314,92,best_nodes
74197,90,best_nodes
74310,89,best_nodes
74462,88,best_nodes
73948,88,best_nodes
72164,90,best_nodes
74851,87,best_nodes
72563,91,best_nodes
73605,92,best_nodes
74396,92,best_nodes
76906,85,best_nodes
74570,91,best_nodes
74682,90,best_nodes
74081,86,best_nodes
75097,88,best_nodes
74048,87,best_nodes
74658,89,best_nodes
74084,91,best_nodes
73458,90,best_nodes
74721,86,best_nodes
74909,86,best_nodes
72289,89,best_nodes
74200,88,best_nodes
74445,84,best_nodes
74117,88,best_nodes
73772,88,best_nodes
75429,91,best_nodes
72023,91,best_nodes
73518,90,best_nodes
74184,87,best_nodes
75043,91,best_nodes
74568,90,best_nodes
73967,89,best_nodes
73535,91,best_nodes
75055,86,best_nodes
75359,86,best_nodes
74312,87,best_nodes
73600,91,best_nodes
73742,92,best_nodes
74958,89,best_nodes
73372,86,best_nodes
73829,89,best_nodes
76279,87,best_nodes
74782,92,best_nodes
74604,87,best_nodes
74745,87,best_nodes
75395,90,best_nodes
73838,92,best_nodes
73080,92,best_nodes
75718,90,best_nodes
75000,88,best_nodes
75251,90,best_nodes
74801,90,best_nodes
73950,92,best_nodes
74049,91,best_nodes
73434,90,best_nodes
72803,87,best_nodes
73755,88,best_nodes
74039,89,best_nodes
73842,91,best_nodes
73865,90,best_nodes
73496,89,best_nodes
73487,91,best_nodes
75146,89,best_nodes
72795,93,best_nodes
76675,87,best_nodes
74587,92,best_nodes
74612,92,best_nodes
75722,91,best_nodes
74442,92,best_nodes
75071,84,best_nodes
74097,88,best_nodes
73712,87,best_nodes
76189,89,best_nodes
73314,89,best_nodes
75781,85,best_nodes
73615,90,best_nodes
73583,90,best_nodes
74187,89,best_nodes
74788,90,best_nodes
72953,90,best_nodes
73060,93,best_nodes
74357,92,best_nodes
72898,89,best_nodes
73974,93,best_nodes
74598,92,best_nodes
73990,88,best_nodes
75182,88,best_nodes
74024,87,best_nodes
76496,83,best_nodes
73796,90,best_nodes
72286,91,best_nodes
77818,87,best_nodes
71638,90,best_nodes
74038,88,best_nodes
73434,91,best_nodes
74838,87,best_nodes
74895,89,best_nodes
74559,89,best_nodes
73362,92,best_nodes
73181,88,best_nodes
73164,88,best_nodes
73120,92,best_nodes
73683,91,best_nodes
73113,88,best_nodes
72944,90,best_nodes
73158,88,best_nodes
72499,91,best_nodes
75435,89,best_nodes
73594,90,best_nodes
73341,92,best_nodes
73467,91,best_nodes
73049,84,best_nodes
75563,91,best_nodes
72653,90,best_nodes
75214,87,best_nodes
73157,88,best_nodes
72943,86,best_nodes
74894,91,best_nodes
73566,92,best_nodes
73657,89,best_nodes
75756,90,best_nodes
74408,88,best_nodes
72940,94,best_nodes
72936,91,best_nodes
73745,92,best_nodes
73615,89,best_nodes
73276,88,best_nodes
73699,91,best_nodes
74634,88,best_nodes
72492,88,best_nodes
75028,89,best_nodes
73892,89,best_nodes
76055,87,best_nodes
72732,91,best_nodes
76480,88,best_nodes
73524,91,best_nodes
73240,91,best_nodes
73510,85,best_nodes
71915,87,best_nodes
73081,90,best_nodes
74037,90,best_nodes
73589,91,best_nodes
72499,90,best_nodes
73033,91,best_nodes
73607,90,best_nodes
74115,92,best_nodes
74042,88,best_nodes
73429,88,best_nodes
74984,88,best_nodes
76271,85,best_nodes
74605,88,best_nodes
73753,91,best_nodes
76589,86,best_nodes
75888,87,best_nodes
75405,85,best_nodes
75163,88,best_nodes
73690,91,best_nodes
74020,89,best_nodes
73541,92,best_nodes
76165,89,best_nodes
73398,90,best_nodes
73115,90,best_nodes
72438,89,best_nodes
73372,90,best_nodes
73968,87,best_nodes
73200,90,best_nodes
74297,90,best_nodes
73227,89,best_nodes
76095,83,best_nodes
74359,91,best_nodes
73552,86,best_nodes
74852,91,best_nodes
73582,89,best_nodes
75765,89,best_nodes
75059,90,best_nodes
72645,89,best_nodes
73969,89,best_nodes
74397,87,best_nodes
74382,87,best_nodes
74857,88,best_nodes
74286,92,best_nodes
74007,90,best_nodes
74210,88,best_nodes
73711,89,best_nodes
73893,91,best_nodes
74174,92,best_nodes
73626,94,best_nodes
71716,95,best_nodes
73225,92,best_nodes
73916,87,best_nodes
74583,88,best_nodes
73026,89,best_nodes
73376,93,best_nodes
75452,88,best_nodes
73815,85,best_nodes
73687,88,best_nodes
76012,89,best_nodes
75156,83,best_nodes
73797,89,best_nodes
73872,89,best_nodes
73268,89,best_nodes
72887,90,best_nodes
73513,93,best_nodes
77567,86,best_nodes
76380,84,best_nodes
75902,87,best_nodes
74694,92,best_nodes
73950,86,best_nodes
74180,91,best_nodes
74257,92,best_nodes
74217,89,best_nodes
73128,91,best_nodes
74873,88,best_nodes
74292,89,best_nodes
73959,88,best_nodes
74663,93,best_nodes
73472,92,best_nodes
73500,86,best_nodes
73020,90,best_nodes
73657,87,best_nodes
73906,91,best_nodes
73518,89,best_nodes
74055,87,best_nodes
74286,91,best_nodes
73733,88,best_nodes
74726,90,best_nodes
72434,90,best_nodes
74728,88,best_nodes
74460,87,best_nodes
77677,86,best_nodes
73068,91,best_nodes
74499,86,best_nodes
75961,94,best_nodes
75530,86,best_nodes
75443,88,best_nodes
73909,88,best_nodes
75023,92,best_nodes
72649,90,best_nodes
74398,88,best_nodes
74124,90,best_nodes
73495,92,best_nodes
77781,87,best_nodes
72790,88,best_nodes
74152,85,best_nodes
73818,90,best_nodes
74398,90,best_nodes
73226,92,best_nodes
73356,90,best_nodes
74730,85,best_nodes
74829,89,best_nodes
73941,88,best_nodes
72862,89,best_nodes
74863,88,best_nodes
74009,87,best_nodes
73063,91,best_nodes
77333,88,best_nodes
73172,88,best_nodes
