objective,similarity,type
71908,51,ils_edges
74105,43,ils_edges
76728,40,ils_edges
71615,52,ils_edges
73807,51,ils_edges
73639,46,ils_edges
72885,48,ils_edges
74874,44,ils_edges
72108,54,ils_edges
73273,43,ils_edges
75844,43,ils_edges
73840,54,ils_edges
75447,47,ils_edges
76202,44,ils_edges
73457,46,ils_edges
72687,51,ils_edges
74834,43,ils_edges
76329,50,ils_edges
72915,49,ils_edges
74873,40,ils_edges
75299,45,ils_edges
73784,47,ils_edges
74356,40,ils_edges
72992,45,ils_edges
74205,51,ils_edges
76189,45,ils_edges
74129,44,ils_edges
73844,51,ils_edges
74259,44,ils_edges
73477,42,ils_edges
74711,53,ils_edges
75649,45,ils_edges
75159,52,ils_edges
74006,53,ils_edges
74085,45,ils_edges
75247,50,ils_edges
73962,52,ils_edges
74183,49,ils_edges
73644,45,ils_edges
74285,47,ils_edges
74134,46,ils_edges
75311,46,ils_edges
73329,47,ils_edges
74903,41,ils_edges
72980,52,ils_edges
74561,49,ils_edges
73199,43,ils_edges
72089,45,ils_edges
74350,49,ils_edges
74091,54,ils_edges
74361,45,ils_edges
73612,48,ils_edges
74272,44,ils_edges
74066,57,ils_edges
74808,45,ils_edges
72604,46,ils_edges
75011,46,ils_edges
77934,45,ils_edges
74298,46,ils_edges
72857,53,ils_edges
74973,48,ils_edges
76622,44,ils_edges
74378,48,ils_edges
73465,48,ils_edges
74424,48,ils_edges
74209,45,ils_edges
74494,44,ils_edges
73868,46,ils_edges
74493,47,ils_edges
73453,39,ils_edges
72907,52,ils_edges
74369,49,ils_edges
73708,45,ils_edges
73989,53,ils_edges
74014,54,ils_edges
73008,49,ils_edges
71662,49,ils_edges
73530,48,ils_edges
75602,40,ils_edges
74686,55,ils_edges
74884,43,ils_edges
76113,45,ils_edges
75032,38,ils_edges
74256,46,ils_edges
75324,47,ils_edges
73314,55,ils_edges
74197,47,ils_edges
74310,44,ils_edges
74462,48,ils_edges
73948,44,ils_edges
72164,50,ils_edges
74851,46,ils_edges
72563,46,ils_edges
73605,48,ils_edges
74396,41,ils_edges
76906,39,ils_edges
74570,44,ils_edges
74682,47,ils_edges
74081,47,ils_edges
75097,45,ils_edges
74048,52,ils_edges
74658,41,ils_edges
74084,39,ils_edges
73458,49,ils_edges
74721,47,ils_edges
74909,46,ils_edges
72289,56,ils_edges
74200,43,ils_edges
74445,47,ils_edges
74117,46,ils_edges
73772,48,ils_edges
75429,44,ils_edges
72023,54,ils_edges
73518,50,ils_edges
74184,47,ils_edges
75043,48,ils_edges
74568,42,ils_edges
73967,45,ils_edges
73535,48,ils_edges
75055,45,ils_edges
75359,37,ils_edges
74312,45,ils_edges
73600,42,ils_edges
73742,41,ils_edges
74958,46,ils_edges
73372,50,ils_edges
73829,42,ils_edges
76279,41,ils_edges
74782,46,ils_edges
74604,40,ils_edges
74745,42,ils_edges
75395,41,ils_edges
73838,51,ils_edges
73080,44,ils_edges
75718,41,ils_edges
75000,51,ils_edges
75251,46,ils_edges
74801,43,ils_edges
73950,54,ils_edges
74049,46,ils_edges
73434,53,ils_edges
