objective,similarity,type
71908,92,ils_nodes
74105,88,ils_nodes
76728,86,ils_nodes
71615,89,ils_nodes
73807,89,ils_nodes
73639,89,ils_nodes
72885,90,ils_nodes
74874,89,ils_nodes
72108,89,ils_nodes
73273,89,ils_nodes
75844,86,ils_nodes
73840,92,ils_nodes
75447,88,ils_nodes
76202,85,ils_nodes
73457,89,ils_nodes
72687,90,ils_nodes
74834,87,ils_nodes
76329,86,ils_nodes
72915,89,ils_nodes
74873,85,ils_nodes
75299,86,ils_nodes
73784,90,ils_nodes
74356,86,ils_nodes
72992,89,ils_nodes
74205,88,ils_nodes
76189,85,ils_nodes
74129,86,ils_nodes
73844,88,ils_nodes
74259,87,ils_nodes
73477,86,ils_nodes
74711,88,ils_nodes
75649,85,ils_nodes
75159,90,ils_nodes
74006,91,ils_nodes
74085,87,ils_nodes
75247,89,ils_nodes
73962,91,ils_nodes
74183,89,ils_nodes
73644,88,ils_nodes
74285,89,ils_nodes
74134,91,ils_nodes
75311,89,ils_nodes
73329,87,ils_nodes
74903,87,ils_nodes
72980,89,ils_nodes
74561,87,ils_nodes
73199,87,ils_nodes
72089,87,ils_nodes
74350,88,ils_nodes
74091,90,ils_nodes
74361,88,ils_nodes
73612,87,ils_nodes
74272,88,ils_nodes
74066,90,ils_nodes
74808,86,ils_nodes
72604,89,ils_nodes
75011,91,ils_nodes
77934,83,ils_nodes
74298,90,ils_nodes
72857,91,ils_nodes
74973,89,ils_nodes
76622,86,ils_nodes
74378,89,ils_nodes
73465,90,ils_nodes
74424,89,ils_nodes
74209,88,ils_nodes
74494,88,ils_nodes
73868,88,ils_nodes
74493,89,ils_nodes
73453,85,ils_nodes
72907,91,ils_nodes
74369,88,ils_nodes
73708,89,ils_nodes
73989,90,ils_nodes
74014,91,ils_nodes
73008,91,ils_nodes
71662,92,ils_nodes
73530,89,ils_nodes
75602,87,ils_nodes
74686,90,ils_nodes
74884,88,ils_nodes
76113,85,ils_nodes
75032,88,ils_nodes
74256,89,ils_nodes
75324,88,ils_nodes
73314,89,ils_nodes
74197,92,ils_nodes
74310,86,ils_nodes
74462,91,ils_nodes
73948,85,ils_nodes
72164,91,ils_nodes
74851,88,ils_nodes
72563,89,ils_nodes
73605,91,ils_nodes
74396,87,ils_nodes
76906,85,ils_nodes
74570,86,ils_nodes
74682,89,ils_nodes
74081,89,ils_nodes
75097,88,ils_nodes
74048,91,ils_nodes
74658,88,ils_nodes
74084,88,ils_nodes
73458,91,ils_nodes
74721,87,ils_nodes
74909,87,ils_nodes
72289,91,ils_nodes
74200,87,ils_nodes
74445,85,ils_nodes
74117,86,ils_nodes
73772,88,ils_nodes
75429,89,ils_nodes
72023,90,ils_nodes
73518,90,ils_nodes
74184,90,ils_nodes
75043,88,ils_nodes
74568,87,ils_nodes
73967,87,ils_nodes
73535,87,ils_nodes
75055,87,ils_nodes
75359,88,ils_nodes
74312,88,ils_nodes
73600,85,ils_nodes
73742,86,ils_nodes
74958,85,ils_nodes
73372,91,ils_nodes
73829,88,ils_nodes
76279,85,ils_nodes
74782,89,ils_nodes
74604,88,ils_nodes
74745,87,ils_nodes
75395,84,ils_nodes
73838,91,ils_nodes
73080,86,ils_nodes
75718,84,ils_nodes
75000,89,ils_nodes
75251,88,ils_nodes
74801,87,ils_nodes
73950,89,ils_nodes
74049,88,ils_nodes
73434,90,ils_nodes
72803,88,ils_nodes
73755,90,ils_nodes
74039,90,ils_nodes
73842,88,ils_nodes
73865,90,ils_nodes
73496,88,ils_nodes
73487,90,ils_nodes
75146,89,ils_nodes
72795,88,ils_nodes
76675,85,ils_nodes
74587,88,ils_nodes
74612,86,ils_nodes
75722,87,ils_nodes
74442,87,ils_nodes
75071,88,ils_nodes
74097,88,ils_nodes
73712,89,ils_nodes
76189,83,ils_nodes
73314,89,ils_nodes
75781,85,ils_nodes
73615,89,ils_nodes
73583,89,ils_nodes
74187,89,ils_nodes
74788,88,ils_nodes
72953,87,ils_nodes
73060,90,ils_nodes
74357,86,ils_nodes
72898,89,ils_nodes
73974,87,ils_nodes
74598,86,ils_nodes
73990,87,ils_nodes
75182,84,ils_nodes
74024,91,ils_nodes
76496,87,ils_nodes
73796,88,ils_nodes
72286,90,ils_nodes
77818,85,ils_nodes
71638,92,ils_nodes
74038,87,ils_nodes
73434,90,ils_nodes
74838,86,ils_nodes
74895,84,ils_nodes
74559,90,ils_nodes
73362,88,ils_nodes
73181,89,ils_nodes
73164,90,ils_nodes
73120,89,ils_nodes
73683,89,ils_nodes
73113,89,ils_nodes
72944,89,ils_nodes
73158,88,ils_nodes
72499,89,ils_nodes
75435,87,ils_nodes
73594,90,ils_nodes
73341,88,ils_nodes
73467,90,ils_nodes
73049,87,ils_nodes
75563,85,ils_nodes
72653,89,ils_nodes
75214,85,ils_nodes
73157,88,ils_nodes
72943,89,ils_nodes
74894,89,ils_nodes
73566,92,ils_nodes
73657,90,ils_nodes
75756,88,ils_nodes
71024,87,ils_nodes
74408,88,ils_nodes
72940,89,ils_nodes
72936,89,ils_nodes
73745,90,ils_nodes
73615,88,ils_nodes
73276,89,ils_nodes
73699,86,ils_nodes
74634,88,ils_nodes
72492,90,ils_nodes
75028,88,ils_nodes
73892,87,ils_nodes
76055,88,ils_nodes
72732,89,ils_nodes
76480,87,ils_nodes
73524,89,ils_nodes
73240,87,ils_nodes
73510,87,ils_nodes
71915,89,ils_nodes
73081,90,ils_nodes
74037,90,ils_nodes
73589,90,ils_nodes
72499,88,ils_nodes
73033,87,ils_nodes
73607,91,ils_nodes
74115,85,ils_nodes
74042,86,ils_nodes
73429,87,ils_nodes
74984,88,ils_nodes
76271,83,ils_nodes
74605,86,ils_nodes
73753,89,ils_nodes
76589,86,ils_nodes
75888,87,ils_nodes
75405,88,ils_nodes
75163,89,ils_nodes
73690,90,ils_nodes
74020,88,ils_nodes
73541,88,ils_nodes
76165,86,ils_nodes
73398,88,ils_nodes
73115,90,ils_nodes
72438,91,ils_nodes
73372,89,ils_nodes
73968,88,ils_nodes
73200,88,ils_nodes
74297,92,ils_nodes
73227,90,ils_nodes
76095,87,ils_nodes
74359,87,ils_nodes
73552,89,ils_nodes
74852,85,ils_nodes
73582,87,ils_nodes
75765,87,ils_nodes
75059,88,ils_nodes
72645,88,ils_nodes
73969,89,ils_nodes
74397,87,ils_nodes
74382,88,ils_nodes
74857,88,ils_nodes
74286,88,ils_nodes
74007,89,ils_nodes
74210,90,ils_nodes
73711,92,ils_nodes
73893,84,ils_nodes
74174,89,ils_nodes
73626,90,ils_nodes
71716,89,ils_nodes
73225,90,ils_nodes
73916,88,ils_nodes
74583,88,ils_nodes
73026,90,ils_nodes
73376,86,ils_nodes
75452,83,ils_nodes
73815,88,ils_nodes
73687,89,ils_nodes
76012,85,ils_nodes
75156,87,ils_nodes
73797,89,ils_nodes
73872,88,ils_nodes
73268,85,ils_nodes
72887,91,ils_nodes
73513,88,ils_nodes
77567,88,ils_nodes
76380,85,ils_nodes
75902,87,ils_nodes
74694,86,ils_nodes
73950,86,ils_nodes
74180,87,ils_nodes
74257,89,ils_nodes
74217,90,ils_nodes
73128,91,ils_nodes
74873,87,ils_nodes
74292,88,ils_nodes
73959,90,ils_nodes
74663,88,ils_nodes
73472,88,ils_nodes
73500,89,ils_nodes
73020,88,ils_nodes
73657,87,ils_nodes
73906,90,ils_nodes
73518,89,ils_nodes
74055,88,ils_nodes
74286,85,ils_nodes
73733,89,ils_nodes
74726,88,ils_nodes
72434,91,ils_nodes
74728,88,ils_nodes
74460,89,ils_nodes
77677,86,ils_nodes
73068,87,ils_nodes
74499,88,ils_nodes
75961,84,ils_nodes
75530,87,ils_nodes
75443,86,ils_nodes
73909,87,ils_nodes
75023,86,ils_nodes
72649,91,ils_nodes
74398,90,ils_nodes
74124,90,ils_nodes
73495,87,ils_nodes
77781,85,ils_nodes
72790,89,ils_nodes
74152,87,ils_nodes
73818,90,ils_nodes
74398,90,ils_nodes
