objective,similarity,type
48487,43.2282,avg_edges
48913,42.9289,avg_edges
49169,42.2382,avg_edges
46974,46.3914,avg_edges
48657,43.7257,avg_edges
49409,41.4474,avg_edges
50691,39.1171,avg_edges
47142,44.7608,avg_edges
48285,43.003,avg_edges
49558,41.2452,avg_edges
48551,41.5065,avg_edges
46647,46.1612,avg_edges
48377,43.1782,avg_edges
48349,44.5165,avg_edges
48849,43.1772,avg_edges
48013,42.7758,avg_edges
48913,41.7417,avg_edges
47612,43.9129,avg_edges
47073,43.5175,avg_edges
49135,40.5015,avg_edges
48855,41.9469,avg_edges
49273,42.1702,avg_edges
48585,42.4204,avg_edges
48321,44.1471,avg_edges
47297,43.5616,avg_edges
48001,43.0721,avg_edges
48074,43.4394,avg_edges
48404,42.2913,avg_edges
49430,38.2943,avg_edges
48133,43.04,avg_edges
48722,43.4094,avg_edges
48557,42.5375,avg_edges
50720,39.2472,avg_edges
48869,40.6977,avg_edges
47003,46.008,avg_edges
50439,40.9449,avg_edges
48233,43.7738,avg_edges
48470,42.3754,avg_edges
50068,39.4545,avg_edges
50033,36.3814,avg_edges
48505,41.6887,avg_edges
47367,43.9469,avg_edges
47910,42.4505,avg_edges
50958,36.9219,avg_edges
48838,41.3504,avg_edges
49327,40.2322,avg_edges
49722,39.8759,avg_edges
47824,42.3704,avg_edges
48132,41.8809,avg_edges
49139,42.3874,avg_edges
46216,45.8318,avg_edges
48264,42.5185,avg_edges
49269,40.0711,avg_edges
48506,41.952,avg_edges
47662,44.003,avg_edges
48028,41.5776,avg_edges
47363,43.4605,avg_edges
48464,43.5105,avg_edges
48865,43.1031,avg_edges
47279,44.993,avg_edges
48734,42.0561,avg_edges
50452,38.6326,avg_edges
46806,42.0841,avg_edges
48599,40.8258,avg_edges
50486,40.1421,avg_edges
49534,39.6957,avg_edges
49802,39.0921,avg_edges
49466,41.5175,avg_edges
47677,43.7748,avg_edges
48308,42.4595,avg_edges
46618,45.1502,avg_edges
48276,41.1361,avg_edges
48440,42.2182,avg_edges
48724,41.8428,avg_edges
49876,40.4925,avg_edges
48597,40.7297,avg_edges
47814,43.037,avg_edges
48238,42.4815,avg_edges
49589,37.968,avg_edges
47799,44.1051,avg_edges
48863,44.007,avg_edges
46956,45.1281,avg_edges
49407,40.0781,avg_edges
49494,41.03,avg_edges
47047,42.9289,avg_edges
48464,40.7277,avg_edges
50081,39.2693,avg_edges
49070,40.8879,avg_edges
47265,43.7037,avg_edges
47593,43.5375,avg_edges
48950,42.6216,avg_edges
47380,44.4144,avg_edges
49312,40.5135,avg_edges
49844,39.9419,avg_edges
50252,41.3113,avg_edges
48178,40.021,avg_edges
47379,44.5816,avg_edges
48628,43.2593,avg_edges
50525,39.018,avg_edges
47859,42.04,avg_edges
47853,41.1451,avg_edges
48077,43.8088,avg_edges
49579,40.6146,avg_edges
48671,43.4004,avg_edges
47194,42.0751,avg_edges
49736,42.8418,avg_edges
48195,42.1972,avg_edges
47113,44.2062,avg_edges
47217,45.4775,avg_edges
49335,43.3694,avg_edges
50446,39.6036,avg_edges
49108,40.7497,avg_edges
48716,41.8959,avg_edges
49268,41.1902,avg_edges
46841,43.8939,avg_edges
46782,42.9499,avg_edges
49116,42.035,avg_edges
47570,43.5145,avg_edges
48914,42.7167,avg_edges
46391,44.8809,avg_edges
51569,35.0991,avg_edges
47295,43.7988,avg_edges
47667,42.2322,avg_edges
49906,39.4484,avg_edges
48932,37.5245,avg_edges
46071,47.0651,avg_edges
48724,41.8238,avg_edges
46831,43.8198,avg_edges
47341,45.2653,avg_edges
48024,45.3844,avg_edges
46681,45.4154,avg_edges
48343,41.8248,avg_edges
46919,44.8899,avg_edges
50527,40.1932,avg_edges
48307,42.2082,avg_edges
49031,39.6046,avg_edges
50735,40.3203,avg_edges
49444,42.041,avg_edges
47996,40.6076,avg_edges
48110,41.6286,avg_edges
48522,41.5706,avg_edges
49325,40.7127,avg_edges
47654,44.5215,avg_edges
47055,45.4034,avg_edges
50394,37.0951,avg_edges
48297,42.6867,avg_edges
47728,43.9479,avg_edges
48044,43.8589,avg_edges
48206,44.6146,avg_edges
49081,42.1532,avg_edges
49507,40.6507,avg_edges
48291,41.6957,avg_edges
47935,42.1892,avg_edges
48655,41.8859,avg_edges
48169,41.6106,avg_edges
48004,43.028,avg_edges
47654,44.017,avg_edges
48471,45.3624,avg_edges
49606,41.047,avg_edges
48517,40.5165,avg_edges
46795,43.1021,avg_edges
47742,42.8218,avg_edges
49039,42.3103,avg_edges
49261,43.5666,avg_edges
51618,37.037,avg_edges
48756,41.8058,avg_edges
46520,47.2503,avg_edges
48372,44.9329,avg_edges
47817,43.0751,avg_edges
48562,42.2843,avg_edges
49904,41.2563,avg_edges
50379,39.007,avg_edges
50149,41.6386,avg_edges
48695,40.8999,avg_edges
47330,45.1201,avg_edges
48737,40.6256,avg_edges
