objective,similarity,type
48487,85.0881,avg_nodes
48913,84.8208,avg_nodes
49169,82.972,avg_nodes
46974,84.1451,avg_nodes
48657,83.6176,avg_nodes
49409,84.4785,avg_nodes
50691,82.1842,avg_nodes
47142,84.4074,avg_nodes
48285,83.6396,avg_nodes
49558,82.7628,avg_nodes
48551,83.6517,avg_nodes
46647,84.7187,avg_nodes
48377,83.6286,avg_nodes
48349,83.5776,avg_nodes
48849,83.7698,avg_nodes
48013,84.8248,avg_nodes
48913,83.6517,avg_nodes
47612,83.6046,avg_nodes
47073,85.2182,avg_nodes
49135,83.034,avg_nodes
48855,81.8378,avg_nodes
49273,84.009,avg_nodes
48585,83.6006,avg_nodes
48321,85.0951,avg_nodes
47297,84.014,avg_nodes
48001,83.5065,avg_nodes
48074,84.2713,avg_nodes
48404,84.3203,avg_nodes
49430,82.2793,avg_nodes
48133,84.4194,avg_nodes
48722,83.7788,avg_nodes
48557,84.4535,avg_nodes
50720,80.3313,avg_nodes
48869,81.8328,avg_nodes
47003,84.4014,avg_nodes
50439,82.8869,avg_nodes
48233,84.6607,avg_nodes
48470,81.952,avg_nodes
50068,81.0781,avg_nodes
50033,80.2392,avg_nodes
48505,81.9349,avg_nodes
47367,84.971,avg_nodes
47910,84.5445,avg_nodes
50958,81.2633,avg_nodes
48838,82.9049,avg_nodes
49327,83.7648,avg_nodes
49722,82.5926,avg_nodes
47824,83.9269,avg_nodes
48132,84.1932,avg_nodes
49139,82.2242,avg_nodes
46216,85.6176,avg_nodes
48264,83.8509,avg_nodes
49269,83.0581,avg_nodes
48506,82.7177,avg_nodes
47662,83.9099,avg_nodes
48028,83.1942,avg_nodes
47363,83.2673,avg_nodes
48464,84.4515,avg_nodes
48865,83.021,avg_nodes
47279,83.954,avg_nodes
48734,84.3183,avg_nodes
50452,82.1692,avg_nodes
46806,82.5285,avg_nodes
48599,83.9049,avg_nodes
50486,83.8689,avg_nodes
49534,82.6366,avg_nodes
49802,81.9489,avg_nodes
49466,85.6957,avg_nodes
47677,85,avg_nodes
48308,82.7377,avg_nodes
46618,83.5856,avg_nodes
48276,80.2813,avg_nodes
48440,84.4905,avg_nodes
48724,83.3403,avg_nodes
49876,81.7407,avg_nodes
48597,84.1141,avg_nodes
47814,83.1361,avg_nodes
48238,84.0511,avg_nodes
49589,82.2132,avg_nodes
47799,83.5085,avg_nodes
48863,83.0531,avg_nodes
46956,84.8949,avg_nodes
49407,81.5596,avg_nodes
49494,83.6096,avg_nodes
47047,83.973,avg_nodes
48464,83.4494,avg_nodes
50081,82.7047,avg_nodes
49070,83.3764,avg_nodes
47265,82.5876,avg_nodes
47593,82.7107,avg_nodes
48950,83.7477,avg_nodes
47380,85.3333,avg_nodes
49312,82.9309,avg_nodes
49844,82.6336,avg_nodes
50252,82.2002,avg_nodes
48178,84.7538,avg_nodes
47379,84.6687,avg_nodes
48628,85.1271,avg_nodes
50525,82.6697,avg_nodes
47859,84.011,avg_nodes
47853,83.5796,avg_nodes
48077,84.958,avg_nodes
49579,82.4805,avg_nodes
48671,82.1902,avg_nodes
47194,84.8408,avg_nodes
49736,83.0801,avg_nodes
48195,82.4074,avg_nodes
47113,84.4765,avg_nodes
47217,84.0791,avg_nodes
49335,81.6807,avg_nodes
50446,80.1862,avg_nodes
49108,83.5215,avg_nodes
48716,82.8008,avg_nodes
49268,82.1512,avg_nodes
46841,85.1141,avg_nodes
46782,84.9439,avg_nodes
49116,82.9239,avg_nodes
47570,81.8729,avg_nodes
48914,84.8418,avg_nodes
46391,83.5255,avg_nodes
51569,80.5946,avg_nodes
47295,83.4244,avg_nodes
47667,81.5075,avg_nodes
49906,79.9359,avg_nodes
48932,80.4024,avg_nodes
46071,83.9059,avg_nodes
48724,82.5475,avg_nodes
46831,84.8829,avg_nodes
47341,84.7648,avg_nodes
48024,84.5836,avg_nodes
46681,83.7307,avg_nodes
48343,82.8989,avg_nodes
46919,85.6066,avg_nodes
50527,80.6917,avg_nodes
48307,83.4595,avg_nodes
49031,85.2312,avg_nodes
50735,82.5205,avg_nodes
49444,82.955,avg_nodes
47996,83.8278,avg_nodes
48110,83.8909,avg_nodes
48522,84.8158,avg_nodes
49325,84.2442,avg_nodes
47654,85.8418,avg_nodes
47055,83.02,avg_nodes
50394,80.2492,avg_nodes
48297,83.3764,avg_nodes
47728,83.9039,avg_nodes
48044,83.7968,avg_nodes
48206,84.6086,avg_nodes
49081,82.6887,avg_nodes
49507,83.8959,avg_nodes
48291,83.4555,avg_nodes
47935,84.4555,avg_nodes
48655,80.2092,avg_nodes
48169,85.036,avg_nodes
48004,84.2903,avg_nodes
47654,84.7417,avg_nodes
48471,86.1902,avg_nodes
49606,81.8048,avg_nodes
48517,83.8468,avg_nodes
46795,84.015,avg_nodes
47742,84.2783,avg_nodes
49039,83.3223,avg_nodes
49261,84.965,avg_nodes
51618,79.4785,avg_nodes
48756,84.6046,avg_nodes
46520,85.0991,avg_nodes
48372,84.8719,avg_nodes
47817,82.3223,avg_nodes
48562,83.8038,avg_nodes
49904,82.6687,avg_nodes
50379,80.1231,avg_nodes
50149,82.9409,avg_nodes
