objective,similarity,type
48487,51,best_edges
48913,49,best_edges
49169,50,best_edges
46974,50,best_edges
48657,47,best_edges
49409,52,best_edges
50691,44,best_edges
47142,53,best_edges
48285,50,best_edges
49558,45,best_edges
48551,44,best_edges
46647,53,best_edges
48377,47,best_edges
48349,49,best_edges
48849,47,best_edges
48013,50,best_edges
48913,44,best_edges
47612,44,best_edges
47073,41,best_edges
49135,39,best_edges
48855,42,best_edges
49273,44,best_edges
48585,47,best_edges
48321,51,best_edges
47297,53,best_edges
48001,50,best_edges
48074,43,best_edges
48404,53,best_edges
49430,46,best_edges
48133,45,best_edges
48722,57,best_edges
48557,46,best_edges
50720,44,best_edges
48869,48,best_edges
47003,57,best_edges
50439,47,best_edges
48233,46,best_edges
48470,36,best_edges
50068,43,best_edges
50033,41,best_edges
48505,41,best_edges
47367,53,best_edges
47910,48,best_edges
50958,41,best_edges
48838,46,best_edges
49327,47,best_edges
49722,46,best_edges
47824,41,best_edges
48132,44,best_edges
49139,46,best_edges
46216,47,best_edges
48264,47,best_edges
49269,46,best_edges
48506,43,best_edges
47662,50,best_edges
48028,50,best_edges
47363,50,best_edges
48464,53,best_edges
48865,46,best_edges
47279,53,best_edges
48734,49,best_edges
50452,46,best_edges
46806,47,best_edges
48599,42,best_edges
50486,46,best_edges
49534,43,best_edges
49802,39,best_edges
49466,45,best_edges
47677,50,best_edges
48308,40,best_edges
46618,58,best_edges
48276,49,best_edges
48440,46,best_edges
48724,45,best_edges
49876,41,best_edges
48597,41,best_edges
47814,48,best_edges
48238,41,best_edges
49589,44,best_edges
47799,47,best_edges
48863,43,best_edges
46956,56,best_edges
49407,42,best_edges
49494,45,best_edges
47047,50,best_edges
48464,42,best_edges
50081,44,best_edges
49070,45,best_edges
47265,49,best_edges
47593,49,best_edges
48950,49,best_edges
47380,52,best_edges
49312,38,best_edges
49844,48,best_edges
50252,46,best_edges
48178,43,best_edges
47379,49,best_edges
48628,57,best_edges
50525,45,best_edges
47859,42,best_edges
47853,53,best_edges
48077,46,best_edges
49579,41,best_edges
48671,52,best_edges
47194,48,best_edges
49736,50,best_edges
48195,50,best_edges
47113,48,best_edges
47217,48,best_edges
49335,45,best_edges
50446,43,best_edges
49108,41,best_edges
48716,46,best_edges
49268,45,best_edges
46841,48,best_edges
46782,50,best_edges
49116,54,best_edges
47570,55,best_edges
48914,41,best_edges
46391,48,best_edges
51569,32,best_edges
47295,52,best_edges
47667,54,best_edges
49906,45,best_edges
48932,45,best_edges
46071,52,best_edges
48724,51,best_edges
46831,54,best_edges
47341,50,best_edges
48024,48,best_edges
46681,54,best_edges
48343,44,best_edges
46919,59,best_edges
50527,42,best_edges
48307,45,best_edges
49031,47,best_edges
50735,44,best_edges
49444,59,best_edges
47996,40,best_edges
48110,44,best_edges
48522,45,best_edges
49325,48,best_edges
47654,51,best_edges
47055,51,best_edges
50394,45,best_edges
48297,45,best_edges
47728,48,best_edges
48044,51,best_edges
48206,49,best_edges
49081,48,best_edges
49507,43,best_edges
48291,47,best_edges
47935,50,best_edges
48655,54,best_edges
48169,47,best_edges
48004,48,best_edges
47654,52,best_edges
48471,54,best_edges
49606,43,best_edges
48517,44,best_edges
46795,46,best_edges
47742,55,best_edges
49039,49,best_edges
49261,47,best_edges
51618,38,best_edges
48756,36,best_edges
46520,55,best_edges
48372,56,best_edges
47817,49,best_edges
48562,48,best_edges
49904,44,best_edges
50379,46,best_edges
50149,44,best_edges
48695,34,best_edges
47330,51,best_edges
48737,47,best_edges
47584,51,best_edges
47875,52,best_edges
48631,47,best_edges
47408,50,best_edges
49132,42,best_edges
47459,60,best_edges
47573,52,best_edges
49409,49,best_edges
49110,57,best_edges
48423,50,best_edges
48516,52,best_edges
48519,36,best_edges
47511,51,best_edges
48080,41,best_edges
49551,41,best_edges
48530,48,best_edges
47545,50,best_edges
48349,47,best_edges
49038,46,best_edges
47343,53,best_edges
48395,52,best_edges
47006,52,best_edges
51587,41,best_edges
46549,48,best_edges
47211,58,best_edges
48650,44,best_edges
48472,50,best_edges
49161,43,best_edges
47177,45,best_edges
48264,48,best_edges
49847,49,best_edges
48577,52,best_edges
47374,55,best_edges
49511,45,best_edges
47790,50,best_edges
47729,52,best_edges
47370,53,best_edges
49242,44,best_edges
49902,39,best_edges
49091,46,best_edges
48025,48,best_edges
51100,43,best_edges
47320,53,best_edges
47987,50,best_edges
47874,48,best_edges
48528,48,best_edges
49950,45,best_edges
48085,49,best_edges
47631,50,best_edges
47402,54,best_edges
47855,52,best_edges
47805,54,best_edges
48325,47,best_edges
49358,49,best_edges
47790,53,best_edges
49461,46,best_edges
50269,41,best_edges
47666,46,best_edges
49335,45,best_edges
48703,43,best_edges
49387,49,best_edges
47979,48,best_edges
48601,51,best_edges
51788,51,best_edges
47193,43,best_edges
47894,57,best_edges
47348,53,best_edges
47928,52,best_edges
48590,46,best_edges
49475,42,best_edges
48173,52,best_edges
49926,42,best_edges
49650,46,best_edges
47834,64,best_edges
49667,40,best_edges
47936,54,best_edges
47147,48,best_edges
47423,51,best_edges
49077,43,best_edges
47555,56,best_edges
47757,49,best_edges
48310,53,best_edges
47036,47,best_edges
49330,47,best_edges
49226,45,best_edges
48649,38,best_edges
46587,46,best_edges
47978,49,best_edges
49077,43,best_edges
48527,42,best_edges
48408,53,best_edges
48910,38,best_edges
48437,40,best_edges
49958,48,best_edges
48650,53,best_edges
48370,48,best_edges
48668,43,best_edges
49254,48,best_edges
47544,54,best_edges
47803,45,best_edges
48821,43,best_edges
50956,41,best_edges
50454,46,best_edges
49198,44,best_edges
47458,58,best_edges
48997,37,best_edges
48910,41,best_edges
48226,54,best_edges
49382,52,best_edges
49235,50,best_edges
48592,43,best_edges
46436,61,best_edges
49452,37,best_edges
50625,41,best_edges
47761,54,best_edges
51151,27,best_edges
50907,39,best_edges
47294,51,best_edges
50124,46,best_edges
50280,38,best_edges
47190,54,best_edges
48715,47,best_edges
46420,51,best_edges
49903,47,best_edges
50005,44,best_edges
46744,56,best_edges
49529,35,best_edges
48824,45,best_edges
48680,50,best_edges
47902,46,best_edges
48749,54,best_edges
48145,47,best_edges
46895,53,best_edges
48849,42,best_edges
49954,36,best_edges
48130,49,best_edges
48568,45,best_edges
