objective,similarity,type
48487,87,best_nodes
48913,88,best_nodes
49169,86,best_nodes
46974,82,best_nodes
48657,86,best_nodes
49409,89,best_nodes
50691,85,best_nodes
47142,87,best_nodes
48285,89,best_nodes
49558,82,best_nodes
48551,84,best_nodes
46647,86,best_nodes
48377,86,best_nodes
48349,84,best_nodes
48849,86,best_nodes
48013,87,best_nodes
48913,85,best_nodes
47612,83,best_nodes
47073,86,best_nodes
49135,84,best_nodes
48855,82,best_nodes
49273,88,best_nodes
48585,87,best_nodes
48321,86,best_nodes
47297,88,best_nodes
48001,87,best_nodes
48074,86,best_nodes
48404,87,best_nodes
49430,85,best_nodes
48133,86,best_nodes
48722,92,best_nodes
48557,84,best_nodes
50720,81,best_nodes
48869,86,best_nodes
47003,89,best_nodes
50439,84,best_nodes
48233,87,best_nodes
48470,80,best_nodes
50068,84,best_nodes
50033,85,best_nodes
48505,82,best_nodes
47367,89,best_nodes
47910,88,best_nodes
50958,84,best_nodes
48838,85,best_nodes
49327,86,best_nodes
49722,86,best_nodes
47824,85,best_nodes
48132,84,best_nodes
49139,85,best_nodes
46216,85,best_nodes
48264,87,best_nodes
49269,87,best_nodes
48506,83,best_nodes
47662,88,best_nodes
48028,88,best_nodes
47363,85,best_nodes
48464,88,best_nodes
48865,83,best_nodes
47279,85,best_nodes
48734,86,best_nodes
50452,85,best_nodes
46806,85,best_nodes
48599,83,best_nodes
50486,87,best_nodes
49534,87,best_nodes
49802,81,best_nodes
49466,91,best_nodes
47677,87,best_nodes
48308,83,best_nodes
46618,85,best_nodes
48276,85,best_nodes
48440,84,best_nodes
48724,85,best_nodes
49876,81,best_nodes
48597,84,best_nodes
47814,84,best_nodes
48238,85,best_nodes
49589,84,best_nodes
47799,83,best_nodes
48863,82,best_nodes
46956,90,best_nodes
49407,82,best_nodes
49494,84,best_nodes
47047,87,best_nodes
48464,85,best_nodes
50081,83,best_nodes
49070,87,best_nodes
47265,83,best_nodes
47593,84,best_nodes
48950,84,best_nodes
47380,89,best_nodes
49312,83,best_nodes
49844,88,best_nodes
50252,84,best_nodes
48178,88,best_nodes
47379,87,best_nodes
48628,92,best_nodes
50525,86,best_nodes
47859,85,best_nodes
47853,87,best_nodes
48077,86,best_nodes
49579,84,best_nodes
48671,83,best_nodes
47194,89,best_nodes
49736,86,best_nodes
48195,87,best_nodes
47113,85,best_nodes
47217,86,best_nodes
49335,81,best_nodes
50446,80,best_nodes
49108,84,best_nodes
48716,84,best_nodes
49268,83,best_nodes
46841,86,best_nodes
46782,88,best_nodes
49116,86,best_nodes
47570,85,best_nodes
48914,83,best_nodes
46391,83,best_nodes
51569,79,best_nodes
47295,87,best_nodes
47667,84,best_nodes
49906,81,best_nodes
48932,82,best_nodes
46071,87,best_nodes
48724,86,best_nodes
46831,89,best_nodes
47341,85,best_nodes
