objective,similarity,type
48487,47,ils_edges
48913,43,ils_edges
49169,42,ils_edges
46974,51,ils_edges
48657,49,ils_edges
49409,40,ils_edges
50691,40,ils_edges
47142,46,ils_edges
48285,46,ils_edges
49558,50,ils_edges
48551,42,ils_edges
46647,54,ils_edges
48377,45,ils_edges
48349,50,ils_edges
48849,55,ils_edges
48013,45,ils_edges
48913,43,ils_edges
47612,49,ils_edges
47073,46,ils_edges
49135,41,ils_edges
48855,51,ils_edges
49273,47,ils_edges
48585,57,ils_edges
48321,50,ils_edges
47297,48,ils_edges
48001,45,ils_edges
48074,41,ils_edges
48404,49,ils_edges
49430,39,ils_edges
48133,55,ils_edges
48722,50,ils_edges
48557,44,ils_edges
50720,44,ils_edges
48869,50,ils_edges
47003,49,ils_edges
50439,43,ils_edges
48233,46,ils_edges
48470,45,ils_edges
50068,38,ils_edges
50033,48,ils_edges
48505,48,ils_edges
47367,45,ils_edges
47910,44,ils_edges
50958,35,ils_edges
48838,41,ils_edges
49327,40,ils_edges
49722,37,ils_edges
47824,49,ils_edges
48132,47,ils_edges
49139,40,ils_edges
46216,52,ils_edges
48264,42,ils_edges
49269,43,ils_edges
48506,39,ils_edges
47662,46,ils_edges
48028,39,ils_edges
47363,54,ils_edges
48464,52,ils_edges
48865,40,ils_edges
47279,50,ils_edges
48734,46,ils_edges
50452,47,ils_edges
46806,39,ils_edges
48599,43,ils_edges
50486,41,ils_edges
49534,41,ils_edges
49802,53,ils_edges
49466,42,ils_edges
47677,46,ils_edges
48308,43,ils_edges
46618,49,ils_edges
48276,50,ils_edges
48440,33,ils_edges
48724,43,ils_edges
49876,42,ils_edges
48597,41,ils_edges
47814,50,ils_edges
48238,52,ils_edges
49589,42,ils_edges
47799,51,ils_edges
48863,49,ils_edges
46956,50,ils_edges
49407,47,ils_edges
49494,47,ils_edges
47047,49,ils_edges
48464,45,ils_edges
50081,38,ils_edges
49070,43,ils_edges
47265,43,ils_edges
47593,47,ils_edges
48950,48,ils_edges
47380,40,ils_edges
49312,38,ils_edges
49844,39,ils_edges
50252,41,ils_edges
48178,43,ils_edges
47379,45,ils_edges
48628,44,ils_edges
50525,38,ils_edges
47859,34,ils_edges
47853,48,ils_edges
48077,46,ils_edges
49579,39,ils_edges
48671,49,ils_edges
47194,42,ils_edges
49736,50,ils_edges
48195,45,ils_edges
47113,52,ils_edges
47217,51,ils_edges
49335,51,ils_edges
50446,45,ils_edges
49108,46,ils_edges
48716,45,ils_edges
49268,41,ils_edges
46841,48,ils_edges
46782,43,ils_edges
49116,39,ils_edges
47570,52,ils_edges
48914,43,ils_edges
46391,48,ils_edges
51569,35,ils_edges
47295,44,ils_edges
47667,46,ils_edges
49906,41,ils_edges
48932,36,ils_edges
46071,45,ils_edges
48724,47,ils_edges
46831,51,ils_edges
47341,52,ils_edges
48024,45,ils_edges
46681,47,ils_edges
48343,50,ils_edges
46919,47,ils_edges
50527,39,ils_edges
48307,52,ils_edges
49031,44,ils_edges
50735,38,ils_edges
49444,45,ils_edges
47996,42,ils_edges
48110,44,ils_edges
48522,46,ils_edges
49325,43,ils_edges
47654,52,ils_edges
47055,59,ils_edges
50394,48,ils_edges
48297,43,ils_edges
47728,40,ils_edges
48044,43,ils_edges
48206,44,ils_edges
49081,44,ils_edges
49507,36,ils_edges
48291,43,ils_edges
47935,39,ils_edges
48655,45,ils_edges
48169,45,ils_edges
48004,48,ils_edges
47654,57,ils_edges
48471,46,ils_edges
49606,46,ils_edges
48517,39,ils_edges
46795,40,ils_edges
47742,45,ils_edges
49039,43,ils_edges
49261,53,ils_edges
51618,48,ils_edges
48756,37,ils_edges
46520,52,ils_edges
48372,54,ils_edges
47817,51,ils_edges
48562,49,ils_edges
49904,55,ils_edges
50379,44,ils_edges
50149,44,ils_edges
48695,40,ils_edges
47330,45,ils_edges
48737,46,ils_edges
47584,38,ils_edges
47875,52,ils_edges
48631,47,ils_edges
47408,51,ils_edges
49132,48,ils_edges
47459,53,ils_edges
47573,56,ils_edges
49409,42,ils_edges
49110,41,ils_edges
48423,49,ils_edges
48516,49,ils_edges
48519,48,ils_edges
47511,46,ils_edges
48080,46,ils_edges
49551,36,ils_edges
48530,41,ils_edges
47545,48,ils_edges
48349,51,ils_edges
49038,51,ils_edges
47343,49,ils_edges
48395,41,ils_edges
47006,45,ils_edges
51587,48,ils_edges
46549,46,ils_edges
47211,58,ils_edges
48650,44,ils_edges
48472,51,ils_edges
49161,46,ils_edges
47177,45,ils_edges
48264,44,ils_edges
49847,46,ils_edges
48577,51,ils_edges
47374,47,ils_edges
49511,46,ils_edges
47790,50,ils_edges
47729,45,ils_edges
47370,49,ils_edges
49242,40,ils_edges
49902,40,ils_edges
49091,41,ils_edges
48025,42,ils_edges
51100,37,ils_edges
47320,54,ils_edges
47987,48,ils_edges
47874,43,ils_edges
48528,45,ils_edges
49950,39,ils_edges
48085,46,ils_edges
47631,47,ils_edges
47402,45,ils_edges
47855,53,ils_edges
47805,44,ils_edges
48325,47,ils_edges
49358,46,ils_edges
47790,47,ils_edges
49461,42,ils_edges
50269,47,ils_edges
47666,45,ils_edges
49335,40,ils_edges
48703,40,ils_edges
49387,46,ils_edges
47979,46,ils_edges
48601,38,ils_edges
51788,45,ils_edges
47193,49,ils_edges
47894,45,ils_edges
47348,48,ils_edges
47928,43,ils_edges
48590,50,ils_edges
49475,45,ils_edges
48173,48,ils_edges
49926,45,ils_edges
49650,41,ils_edges
47834,46,ils_edges
49667,50,ils_edges
47936,42,ils_edges
47147,50,ils_edges
47423,46,ils_edges
49077,42,ils_edges
47555,45,ils_edges
47757,47,ils_edges
48310,48,ils_edges
47036,47,ils_edges
49330,39,ils_edges
49226,41,ils_edges
48649,39,ils_edges
46587,49,ils_edges
47978,43,ils_edges
49077,49,ils_edges
48527,42,ils_edges
48408,43,ils_edges
48910,42,ils_edges
48437,47,ils_edges
49958,49,ils_edges
48650,49,ils_edges
48370,47,ils_edges
48668,48,ils_edges
49254,45,ils_edges
47544,55,ils_edges
47803,46,ils_edges
48821,43,ils_edges
50956,36,ils_edges
50454,47,ils_edges
49198,41,ils_edges
47458,55,ils_edges
48997,43,ils_edges
48910,46,ils_edges
48226,48,ils_edges
49382,51,ils_edges
49235,45,ils_edges
48592,46,ils_edges
46436,53,ils_edges
49452,39,ils_edges
50625,42,ils_edges
47761,49,ils_edges
51151,37,ils_edges
50907,47,ils_edges
47294,48,ils_edges
50124,48,ils_edges
50280,43,ils_edges
47190,55,ils_edges
48715,44,ils_edges
46420,47,ils_edges
49903,41,ils_edges
50005,44,ils_edges
46744,55,ils_edges
49529,43,ils_edges
48824,47,ils_edges
48680,43,ils_edges
47902,41,ils_edges
48749,40,ils_edges
48145,44,ils_edges
46895,54,ils_edges
48849,49,ils_edges
49954,40,ils_edges
48130,55,ils_edges
48568,41,ils_edges
48455,46,ils_edges
47369,38,ils_edges
48547,47,ils_edges
49418,45,ils_edges
47652,55,ils_edges
48367,40,ils_edges
47177,51,ils_edges
49329,41,ils_edges
48718,49,ils_edges
48553,48,ils_edges
47156,55,ils_edges
47981,42,ils_edges
48084,41,ils_edges
50235,39,ils_edges
50007,44,ils_edges
49588,52,ils_edges
48208,37,ils_edges
48823,45,ils_edges
47922,48,ils_edges
47666,54,ils_edges
47474,48,ils_edges
49470,48,ils_edges
48490,55,ils_edges
48370,46,ils_edges
49840,44,ils_edges
47616,47,ils_edges
49441,55,ils_edges
47324,55,ils_edges
49865,52,ils_edges
48944,49,ils_edges
47933,52,ils_edges
47564,53,ils_edges
47221,48,ils_edges
48861,46,ils_edges
48251,41,ils_edges
47699,51,ils_edges
48615,47,ils_edges
47975,57,ils_edges
48703,49,ils_edges
48597,46,ils_edges
47994,47,ils_edges
49051,42,ils_edges
47032,56,ils_edges
48118,52,ils_edges
47864,51,ils_edges
48953,44,ils_edges
48576,39,ils_edges
50627,42,ils_edges
49025,47,ils_edges
49138,51,ils_edges
48166,48,ils_edges
49033,47,ils_edges
45500,58,ils_edges
49755,41,ils_edges
47549,46,ils_edges
49502,41,ils_edges
47278,47,ils_edges
49517,45,ils_edges
47267,48,ils_edges
50152,49,ils_edges
49671,44,ils_edges
49038,40,ils_edges
47458,52,ils_edges
49159,39,ils_edges
47468,54,ils_edges
49447,41,ils_edges
49602,47,ils_edges
47128,44,ils_edges
48718,46,ils_edges
46917,43,ils_edges
49702,42,ils_edges
47264,48,ils_edges
48441,48,ils_edges
48179,46,ils_edges
51211,40,ils_edges
48391,39,ils_edges
47061,55,ils_edges
48929,46,ils_edges
47067,44,ils_edges
46978,54,ils_edges
49010,45,ils_edges
49107,43,ils_edges
49925,46,ils_edges
48877,41,ils_edges
48924,45,ils_edges
50243,54,ils_edges
48234,41,ils_edges
48105,48,ils_edges
47965,45,ils_edges
49354,45,ils_edges
48817,50,ils_edges
49177,38,ils_edges
50457,46,ils_edges
47046,41,ils_edges
47507,43,ils_edges
47699,42,ils_edges
49064,41,ils_edges
47366,46,ils_edges
48837,52,ils_edges
47544,46,ils_edges
49994,49,ils_edges
49261,41,ils_edges
48651,49,ils_edges
49546,48,ils_edges
47715,50,ils_edges
48812,51,ils_edges
47610,44,ils_edges
48682,51,ils_edges
49471,50,ils_edges
48217,51,ils_edges
49093,46,ils_edges
47713,51,ils_edges
49412,47,ils_edges
49457,35,ils_edges
47490,51,ils_edges
47913,43,ils_edges
47678,52,ils_edges
47393,44,ils_edges
46956,47,ils_edges
46811,56,ils_edges
46770,51,ils_edges
48510,46,ils_edges
49515,45,ils_edges
48627,44,ils_edges
47701,51,ils_edges
47282,51,ils_edges
48510,48,ils_edges
50164,42,ils_edges
49106,51,ils_edges
50123,39,ils_edges
48887,47,ils_edges
47925,55,ils_edges
48075,55,ils_edges
48343,37,ils_edges
49717,46,ils_edges
47850,55,ils_edges
49200,39,ils_edges
47360,57,ils_edges
48175,45,ils_edges
50537,31,ils_edges
48454,45,ils_edges
48056,50,ils_edges
49441,42,ils_edges
48823,40,ils_edges
47038,60,ils_edges
47781,42,ils_edges
48640,48,ils_edges
48355,52,ils_edges
49980,44,ils_edges
50447,35,ils_edges
49717,41,ils_edges
48584,45,ils_edges
48310,57,ils_edges
49804,42,ils_edges
48417,47,ils_edges
47421,38,ils_edges
47343,55,ils_edges
50067,42,ils_edges
46779,50,ils_edges
48684,45,ils_edges
48037,52,ils_edges
46637,38,ils_edges
47784,48,ils_edges
50384,38,ils_edges
47976,47,ils_edges
47904,40,ils_edges
50528,43,ils_edges
48857,45,ils_edges
49086,42,ils_edges
48261,56,ils_edges
48609,42,ils_edges
50236,39,ils_edges
49293,45,ils_edges
47719,47,ils_edges
49419,38,ils_edges
48395,43,ils_edges
49248,42,ils_edges
48324,41,ils_edges
48161,37,ils_edges
48553,57,ils_edges
47979,46,ils_edges
48709,45,ils_edges
47732,54,ils_edges
48085,56,ils_edges
48161,48,ils_edges
46670,49,ils_edges
50345,48,ils_edges
49462,51,ils_edges
48119,47,ils_edges
47133,50,ils_edges
47782,54,ils_edges
47465,49,ils_edges
48687,46,ils_edges
47820,52,ils_edges
49547,35,ils_edges
47991,49,ils_edges
48019,46,ils_edges
52197,42,ils_edges
48033,47,ils_edges
49267,47,ils_edges
49167,46,ils_edges
49018,46,ils_edges
49088,37,ils_edges
47942,54,ils_edges
48561,47,ils_edges
47989,45,ils_edges
46942,51,ils_edges
48041,40,ils_edges
47866,46,ils_edges
47261,44,ils_edges
48274,46,ils_edges
48713,44,ils_edges
49629,44,ils_edges
50365,46,ils_edges
47698,40,ils_edges
47285,51,ils_edges
48697,52,ils_edges
48224,48,ils_edges
47987,48,ils_edges
48976,44,ils_edges
47899,51,ils_edges
47871,41,ils_edges
48061,45,ils_edges
47968,43,ils_edges
47188,49,ils_edges
47187,50,ils_edges
47925,44,ils_edges
49245,46,ils_edges
49022,46,ils_edges
48800,45,ils_edges
48287,44,ils_edges
51725,38,ils_edges
46660,54,ils_edges
48683,57,ils_edges
47165,47,ils_edges
49200,36,ils_edges
49542,48,ils_edges
47032,52,ils_edges
46714,42,ils_edges
49053,41,ils_edges
48127,43,ils_edges
48873,43,ils_edges
50532,47,ils_edges
49026,44,ils_edges
48211,47,ils_edges
47035,49,ils_edges
48952,55,ils_edges
48874,36,ils_edges
46607,46,ils_edges
49484,49,ils_edges
47502,41,ils_edges
49450,47,ils_edges
48409,42,ils_edges
49499,42,ils_edges
48294,45,ils_edges
51175,41,ils_edges
48157,48,ils_edges
47722,43,ils_edges
47307,47,ils_edges
50383,48,ils_edges
47861,37,ils_edges
47001,55,ils_edges
46602,55,ils_edges
47118,48,ils_edges
50177,44,ils_edges
47389,41,ils_edges
49203,39,ils_edges
49678,47,ils_edges
49737,48,ils_edges
47050,45,ils_edges
48558,38,ils_edges
50616,41,ils_edges
47188,46,ils_edges
49320,52,ils_edges
48757,41,ils_edges
49574,42,ils_edges
49192,43,ils_edges
48613,50,ils_edges
50078,40,ils_edges
50998,42,ils_edges
51945,40,ils_edges
47796,48,ils_edges
48843,54,ils_edges
50333,42,ils_edges
47561,51,ils_edges
47733,45,ils_edges
49224,41,ils_edges
47918,43,ils_edges
