objective,similarity,type
48487,85,ils_nodes
48913,83,ils_nodes
49169,84,ils_nodes
46974,82,ils_nodes
48657,84,ils_nodes
49409,85,ils_nodes
50691,83,ils_nodes
47142,85,ils_nodes
48285,87,ils_nodes
49558,86,ils_nodes
48551,83,ils_nodes
46647,86,ils_nodes
48377,82,ils_nodes
48349,83,ils_nodes
48849,86,ils_nodes
48013,85,ils_nodes
48913,83,ils_nodes
47612,84,ils_nodes
47073,86,ils_nodes
49135,84,ils_nodes
48855,83,ils_nodes
49273,85,ils_nodes
48585,89,ils_nodes
48321,86,ils_nodes
47297,84,ils_nodes
48001,83,ils_nodes
48074,81,ils_nodes
48404,83,ils_nodes
49430,82,ils_nodes
48133,87,ils_nodes
48722,84,ils_nodes
48557,85,ils_nodes
50720,80,ils_nodes
48869,86,ils_nodes
47003,84,ils_nodes
50439,80,ils_nodes
48233,84,ils_nodes
48470,82,ils_nodes
50068,81,ils_nodes
50033,86,ils_nodes
48505,86,ils_nodes
47367,84,ils_nodes
47910,83,ils_nodes
50958,83,ils_nodes
48838,84,ils_nodes
49327,83,ils_nodes
49722,80,ils_nodes
47824,84,ils_nodes
48132,85,ils_nodes
49139,79,ils_nodes
46216,84,ils_nodes
48264,85,ils_nodes
49269,83,ils_nodes
48506,80,ils_nodes
47662,86,ils_nodes
48028,84,ils_nodes
47363,87,ils_nodes
48464,86,ils_nodes
48865,83,ils_nodes
47279,83,ils_nodes
48734,82,ils_nodes
50452,84,ils_nodes
46806,82,ils_nodes
48599,85,ils_nodes
50486,85,ils_nodes
49534,82,ils_nodes
49802,84,ils_nodes
49466,86,ils_nodes
47677,85,ils_nodes
48308,83,ils_nodes
46618,83,ils_nodes
48276,83,ils_nodes
48440,82,ils_nodes
48724,81,ils_nodes
49876,83,ils_nodes
48597,83,ils_nodes
47814,82,ils_nodes
48238,85,ils_nodes
49589,82,ils_nodes
47799,83,ils_nodes
48863,81,ils_nodes
46956,86,ils_nodes
49407,82,ils_nodes
49494,83,ils_nodes
47047,86,ils_nodes
48464,82,ils_nodes
50081,81,ils_nodes
49070,83,ils_nodes
47265,82,ils_nodes
47593,84,ils_nodes
48950,84,ils_nodes
47380,84,ils_nodes
49312,81,ils_nodes
49844,82,ils_nodes
50252,81,ils_nodes
48178,85,ils_nodes
47379,83,ils_nodes
48628,86,ils_nodes
50525,83,ils_nodes
47859,79,ils_nodes
47853,88,ils_nodes
48077,88,ils_nodes
49579,80,ils_nodes
48671,82,ils_nodes
47194,85,ils_nodes
49736,86,ils_nodes
48195,82,ils_nodes
47113,87,ils_nodes
47217,83,ils_nodes
49335,82,ils_nodes
50446,80,ils_nodes
49108,86,ils_nodes
48716,82,ils_nodes
49268,80,ils_nodes
46841,84,ils_nodes
46782,86,ils_nodes
49116,82,ils_nodes
47570,85,ils_nodes
48914,82,ils_nodes
46391,82,ils_nodes
51569,80,ils_nodes
47295,83,ils_nodes
47667,80,ils_nodes
49906,82,ils_nodes
48932,79,ils_nodes
46071,83,ils_nodes
48724,83,ils_nodes
46831,86,ils_nodes
47341,84,ils_nodes
48024,84,ils_nodes
46681,85,ils_nodes
48343,85,ils_nodes
46919,85,ils_nodes
50527,79,ils_nodes
48307,86,ils_nodes
49031,85,ils_nodes
50735,81,ils_nodes
49444,82,ils_nodes
47996,82,ils_nodes
48110,84,ils_nodes
48522,86,ils_nodes
49325,88,ils_nodes
47654,86,ils_nodes
47055,86,ils_nodes
50394,85,ils_nodes
48297,83,ils_nodes
47728,83,ils_nodes
48044,84,ils_nodes
48206,84,ils_nodes
49081,80,ils_nodes
49507,80,ils_nodes
48291,80,ils_nodes
47935,82,ils_nodes
48655,80,ils_nodes
48169,84,ils_nodes
48004,80,ils_nodes
47654,87,ils_nodes
48471,85,ils_nodes
49606,83,ils_nodes
48517,83,ils_nodes
46795,82,ils_nodes
47742,85,ils_nodes
49039,81,ils_nodes
49261,84,ils_nodes
51618,82,ils_nodes
48756,81,ils_nodes
46520,87,ils_nodes
48372,86,ils_nodes
47817,85,ils_nodes
48562,85,ils_nodes
49904,86,ils_nodes
50379,83,ils_nodes
50149,84,ils_nodes
48695,81,ils_nodes
47330,81,ils_nodes
48737,86,ils_nodes
47584,84,ils_nodes
47875,83,ils_nodes
48631,83,ils_nodes
47408,85,ils_nodes
49132,83,ils_nodes
47459,83,ils_nodes
47573,85,ils_nodes
49409,80,ils_nodes
49110,79,ils_nodes
48423,83,ils_nodes
48516,81,ils_nodes
48519,86,ils_nodes
47511,84,ils_nodes
48080,84,ils_nodes
49551,83,ils_nodes
48530,84,ils_nodes
47545,87,ils_nodes
48349,84,ils_nodes
49038,84,ils_nodes
47343,86,ils_nodes
48395,83,ils_nodes
47006,83,ils_nodes
51587,83,ils_nodes
46549,84,ils_nodes
47211,89,ils_nodes
48650,83,ils_nodes
48472,86,ils_nodes
49161,84,ils_nodes
47177,83,ils_nodes
48264,87,ils_nodes
49847,81,ils_nodes
48577,83,ils_nodes
47374,82,ils_nodes
49511,80,ils_nodes
47790,85,ils_nodes
47729,84,ils_nodes
47370,85,ils_nodes
49242,82,ils_nodes
49902,84,ils_nodes
49091,81,ils_nodes
48025,81,ils_nodes
51100,80,ils_nodes
47320,83,ils_nodes
47987,89,ils_nodes
47874,86,ils_nodes
48528,84,ils_nodes
49950,86,ils_nodes
48085,83,ils_nodes
47631,85,ils_nodes
47402,86,ils_nodes
47855,84,ils_nodes
47805,81,ils_nodes
48325,83,ils_nodes
49358,85,ils_nodes
47790,85,ils_nodes
49461,82,ils_nodes
50269,83,ils_nodes
47666,83,ils_nodes
49335,81,ils_nodes
48703,82,ils_nodes
49387,85,ils_nodes
47979,83,ils_nodes
48601,81,ils_nodes
51788,80,ils_nodes
47193,86,ils_nodes
47894,82,ils_nodes
47348,84,ils_nodes
47928,83,ils_nodes
48590,85,ils_nodes
49475,85,ils_nodes
48173,82,ils_nodes
49926,80,ils_nodes
49650,79,ils_nodes
47834,81,ils_nodes
49667,84,ils_nodes
47936,85,ils_nodes
47147,86,ils_nodes
47423,84,ils_nodes
49077,82,ils_nodes
47555,86,ils_nodes
47757,85,ils_nodes
48310,86,ils_nodes
47036,86,ils_nodes
49330,83,ils_nodes
49226,86,ils_nodes
48649,85,ils_nodes
46587,84,ils_nodes
47978,85,ils_nodes
49077,83,ils_nodes
48527,86,ils_nodes
48408,82,ils_nodes
48910,79,ils_nodes
48437,82,ils_nodes
49958,83,ils_nodes
48650,84,ils_nodes
48370,89,ils_nodes
48668,86,ils_nodes
49254,83,ils_nodes
47544,87,ils_nodes
47803,84,ils_nodes
48821,81,ils_nodes
