HEA_with_LS_Best
id,x,y,cost
86,3382,964,27
166,3525,715,67
194,3437,588,248
176,3281,586,6
113,3325,479,63
114,3431,256,381
137,3433,28,262
127,3238,171,238
89,3196,229,303
103,3241,318,302
163,3078,311,182
187,2813,30,216
153,2717,358,51
81,2453,462,379
77,2282,296,81
141,2098,6,25
91,1856,126,523
61,1736,127,313
36,1677,73,103
177,1450,398,52
5,1191,249,141
78,1152,93,410
175,1131,69,131
142,1120,129,575
45,1060,195,505
80,673,52,170
190,667,101,52
136,783,317,486
73,700,487,488
54,637,536,299
31,632,506,215
193,579,472,333
117,513,566,31
198,441,604,470
156,297,653,506
1,278,832,247
131,555,1117,355
121,846,1034,10
51,1000,1347,314
90,767,1474,99
122,425,1514,155
135,277,1305,92
63,32,1428,56
40,7,1897,120
107,73,1855,324
133,514,1770,371
10,592,1848,471
147,1085,1811,147
6,1456,1804,329
188,1622,1862,198
169,1713,1818,92
132,1833,1789,381
70,2012,1975,87
3,2116,1873,105
15,2085,1797,350
145,2043,1713,221
13,1889,1720,411
195,1882,1616,342
168,1848,1559,75
139,1680,1260,362
11,1777,1185,330
138,1706,1019,244
33,1893,1017,78
160,1978,992,421
144,1992,864,486
104,1842,787,381
8,1946,680,119
21,1820,435,299
82,2005,510,381
111,2184,746,270
29,2154,1156,28
0,2249,1105,40
109,2279,1148,144
35,2314,1089,132
143,2702,900,336
106,2905,891,68
124,2932,989,109
62,2964,1170,51
18,2954,1253,65
55,2959,1326,289
34,2834,1384,245
170,2829,1619,522
152,2909,1748,83
183,3276,1559,31
140,3287,1689,60
4,3337,1928,515
149,3388,1945,501
28,3485,1906,229
20,3731,1803,11
60,3979,1762,164
148,3825,1576,145
47,3907,1503,174
94,3944,1385,108
66,3928,1338,512
179,3749,1066,205
22,3619,1219,596
99,3586,1263,451
130,3461,1269,475
95,3370,1235,263
185,3525,1112,27
86,3382,964,27

HEA_without_LS_Best
id,x,y,cost
28,3485,1906,229
149,3388,1945,501
4,3337,1928,515
140,3287,1689,60
183,3276,1559,31
152,2909,1748,83
170,2829,1619,522
34,2834,1384,245
55,2959,1326,289
18,2954,1253,65
62,2964,1170,51
124,2932,989,109
106,2905,891,68
143,2702,900,336
35,2314,1089,132
109,2279,1148,144
0,2249,1105,40
29,2154,1156,28
189,2383,1648,502
155,2452,1841,197
3,2116,1873,105
70,2012,1975,87
15,2085,1797,350
145,2043,1713,221
195,1882,1616,342
168,1848,1559,75
13,1889,1720,411
132,1833,1789,381
169,1713,1818,92
188,1622,1862,198
6,1456,1804,329
147,1085,1811,147
90,767,1474,99
51,1000,1347,314
121,846,1034,10
131,555,1117,355
135,277,1305,92
122,425,1514,155
133,514,1770,371
107,73,1855,324
40,7,1897,120
63,32,1428,56
38,70,984,384
27,2,879,400
1,278,832,247
156,297,653,506
198,441,604,470
117,513,566,31
193,579,472,333
54,637,536,299
31,632,506,215
73,700,487,488
136,783,317,486
190,667,101,52
80,673,52,170
162,902,44,623
175,1131,69,131
78,1152,93,410
5,1191,249,141
177,1450,398,52
25,1309,801,319
182,1595,1058,485
138,1706,1019,244
11,1777,1185,330
33,1893,1017,78
160,1978,992,421
144,1992,864,486
104,1842,787,381
8,1946,680,119
82,2005,510,381
21,1820,435,299
61,1736,127,313
36,1677,73,103
141,2098,6,25
77,2282,296,81
81,2453,462,379
153,2717,358,51
187,2813,30,216
163,3078,311,182
103,3241,318,302
89,3196,229,303
127,3238,171,238
137,3433,28,262
114,3431,256,381
113,3325,479,63
176,3281,586,6
194,3437,588,248
166,3525,715,67
86,3382,964,27
185,3525,1112,27
95,3370,1235,263
130,3461,1269,475
99,3586,1263,451
179,3749,1066,205
66,3928,1338,512
94,3944,1385,108
47,3907,1503,174
148,3825,1576,145
60,3979,1762,164
20,3731,1803,11
28,3485,1906,229

ILS (20 runs, time-limited)
id,x,y,cost
160,1978,992,421
144,1992,864,486
104,1842,787,381
8,1946,680,119
82,2005,510,381
111,2184,746,270
29,2154,1156,28
0,2249,1105,40
109,2279,1148,144
35,2314,1089,132
143,2702,900,336
106,2905,891,68
124,2932,989,109
62,2964,1170,51
18,2954,1253,65
55,2959,1326,289
