Random Search
x,y,cost
1310,1865,923
1946,680,119
810,808,692
129,15,703
905,550,707
449,1756,847
3337,1928,515
3784,960,767
3979,1762,164
3281,586,6
234,358,990
1911,804,697
3793,578,792
1848,1559,75
1654,1486,638
1992,864,486
1706,1019,244
1680,1260,362
667,101,52
297,653,506
977,1482,796
1820,435,299
441,604,470
3907,1503,174
1085,1811,147
2383,1648,502
1893,1017,78
2600,1799,594
845,885,662
1904,1118,704
2105,393,876
2085,1797,350
1978,992,421
767,1474,99
1622,1862,198
3079,1029,534
425,1514,155
555,1117,355
846,1034,10
129,1293,732
2446,1648,967
3447,1705,619
3433,28,262
3078,311,182
3241,318,302
2920,1809,791
1131,69,131
2851,343,952
2991,504,888
165,550,579
2352,181,604
1677,73,103
2813,30,216
1690,787,856
2339,880,952
2829,1619,522
514,1770,371
254,827,839
3431,256,381
2640,88,715
655,486,690
2834,1384,245
3503,1542,610
2314,1089,132
2256,517,914
3115,1498,766
1191,249,141
3958,1389,782
3478,1919,906
414,551,842
2359,715,786
895,10,959
240,1344,797
2154,1156,28
321,724,832
2040,690,962
3731,1803,11
3278,370,683
2005,510,381
2964,1170,51
3461,1269,475
2347,1997,874
219,1778,698
277,1305,92
3382,964,27
3370,1235,263
3276,1559,31
3825,1576,145
70,984,384
673,52,170
1842,787,381
3196,229,303
3944,1385,108
2184,746,270
579,472,333
2932,989,109
683,1750,711
632,506,215
1306,516,914
2012,1975,87

Nearest Neighbor
x,y,cost
767,1474,99
846,1034,10
555,1117,355
277,1305,92
425,1514,155
514,1770,371
1085,1811,147
1622,1862,198
1848,1559,75
2154,1156,28
2314,1089,132
1893,1017,78
1706,1019,244
1946,680,119
2184,746,270
2005,510,381
1820,435,299
1677,73,103
1191,249,141
1131,69,131
667,101,52
673,52,170
632,506,215
579,472,333
441,604,470
297,653,506
165,550,579
70,984,384
129,1293,732
240,1344,797
219,1778,698
449,1756,847
683,1750,711
977,1482,796
1680,1260,362
1978,992,421
1992,864,486
